options: {'left_index': False, 'headers': True, 'value_encode': {2: {'jan': 1, 'feb': 2, 'mar': 3, 'apr': 4, 'may': 5, 'jun': 6, 'jul': 7, 'aug': 8, 'sep': 9, 'oct': 10, 'nov': 11, 'dec': 12}, 3: {'mon': 1, 'tue': 2, 'wed': 3, 'thu': 4, 'fri': 5, 'sat': 6, 'sun': 7}}, 'normalize_cols': {1: 'x_loc', 2: 'y_loc', 3: 'month', 4: 'day', 5: 'FFMC', 6: 'DMC', 7: 'DC', 8: 'ISI', 9: 'Temp', 10: 'RH', 11: 'wind', 12: 'rain'}, 'result_col': 13}
     x_loc     y_loc     month       day      FFMC       DMC        DC       ISI      Temp        RH      wind    rain  result
0     0.50 -0.142857 -0.636364  0.333333  0.741935 -0.827016 -0.797350 -0.818182 -0.614148 -0.152941  0.400000 -1.0000    0.00
1     0.50 -0.428571  0.636364 -0.666667  0.855484 -0.763611  0.550839 -0.761141  0.016077 -0.576471 -0.888889 -1.0000    0.00
2     0.50 -0.428571  0.636364  0.666667  0.855484 -0.706409  0.592588 -0.761141 -0.202572 -0.576471 -0.800000 -1.0000    0.00
3     0.75  0.142857 -0.636364  0.333333  0.883871 -0.778084 -0.836754 -0.679144 -0.607717  0.929412 -0.200000 -0.9375    0.00
4     0.75  0.142857 -0.636364  1.000000  0.821935 -0.654032 -0.778820 -0.657754 -0.408360  0.976471 -0.688889 -1.0000    0.00
5     0.75  0.142857  0.272727  1.000000  0.899355 -0.419711  0.126070 -0.475936  0.286174 -0.670588  0.111111 -1.0000    0.00
6     0.75  0.142857  0.272727 -1.000000  0.899355 -0.394900  0.143896 -0.696970  0.408360 -0.717647 -0.400000 -1.0000    0.00
7     0.75  0.142857  0.272727 -1.000000  0.878710 -0.005513  0.407998 -0.618538 -0.627010  0.670588 -0.600000 -1.0000    0.00
8     0.75  0.142857  0.454545 -0.666667  0.865806 -0.115093  0.605958 -0.750446 -0.299035  0.129412  0.111111 -1.0000    0.00
9     0.50 -0.142857  0.454545  0.666667  0.904516 -0.401103  0.620030 -0.746881  0.324759 -0.411765 -0.200000 -1.0000    0.00
10    0.50 -0.142857  0.454545  0.666667  0.904516 -0.401103  0.620030 -0.746881  0.003215 -0.152941  0.511111 -1.0000    0.00
11    0.50 -0.142857  0.454545  0.666667  0.912258 -0.503101  0.653806 -0.194296  0.099678 -0.458824 -0.200000 -1.0000    0.00
12    0.25 -0.142857  0.272727  0.333333  0.156129 -0.519642  0.541926 -0.971480 -0.048232  0.341176  0.400000 -1.0000    0.00
13    0.25 -0.142857  0.454545 -1.000000  0.863226 -0.135768  0.591650 -0.750446  0.228296 -0.364706 -0.600000 -1.0000    0.00
14    0.25 -0.142857  0.454545 -0.333333  0.914839 -0.088904  0.622376 -0.672014  0.556270 -0.858824 -0.088889 -1.0000    0.00
15    0.25 -0.142857  0.454545  0.333333  0.925161 -0.034459  0.655917 -0.504456  0.331190 -0.317647  0.111111 -1.0000    0.00
16    0.00 -0.142857 -0.636364  0.666667  0.883871 -0.760855 -0.829014 -0.721925 -0.170418 -0.717647  0.111111 -1.0000    0.00
17    0.75 -0.142857  0.636364 -1.000000  0.708387 -0.781530  0.539346 -0.893048 -0.067524 -0.247059  0.000000 -1.0000    0.00
18    0.25 -0.428571 -0.636364 -0.333333  0.819355 -0.815300 -0.852469 -0.775401 -0.118971 -0.529412 -0.200000 -1.0000    0.00
19    0.25 -0.428571 -0.454545  0.666667  0.744516 -0.818746 -0.790782 -0.818182 -0.543408 -0.317647 -0.088889 -1.0000    0.00
20    0.25 -0.428571  0.454545 -0.666667  0.865806 -0.115093  0.605958 -0.750446  0.035370 -0.411765 -0.488889 -1.0000    0.00
21    0.00 -0.428571  0.454545 -1.000000  0.886452 -0.466575  0.680310 -0.672014  0.086817 -0.458824 -0.488889 -1.0000    0.00
22    0.50 -0.428571 -0.090909  1.000000  0.950968 -0.343901 -0.549431  1.000000  0.209003 -0.317647 -0.088889 -1.0000    0.00
23    0.50 -0.428571  0.272727  0.666667  0.845161 -0.243280  0.241937 -0.778966  0.112540 -0.341176  0.200000 -1.0000    0.00
24    0.50 -0.428571  0.272727  0.666667  0.930323 -0.046864  0.375161 -0.276292  0.382637 -0.600000  0.200000 -1.0000    0.00
25    0.50 -0.428571  0.272727  1.000000  0.876129 -0.026189  0.392049 -0.622103 -0.093248  0.058824  0.111111 -1.0000    0.00
26    0.50 -0.428571  0.454545  0.333333  0.901935 -0.195038  0.548258 -0.565062  0.080386 -0.552941  0.200000 -1.0000    0.00
27    0.50 -0.428571  0.454545 -1.000000  0.863226 -0.135768  0.591650 -0.750446  0.106109 -0.223529 -0.800000 -1.0000    0.00
28    0.25 -0.714286  0.454545  0.666667  0.927742 -0.005513  0.673508 -0.711230  0.800643 -0.788235 -0.488889 -1.0000    0.00
29    0.25 -0.714286  0.454545  1.000000  0.930323  0.021365  0.690395 -0.711230  0.324759 -0.435294 -0.288889 -1.0000    0.00
..     ...       ...       ...       ...       ...       ...       ...       ...       ...       ...       ...     ...     ...
487   0.00 -0.428571  0.272727 -0.666667  0.971613 -0.033770  0.402369 -0.368984  0.556270 -0.552941 -0.288889 -1.0000   16.40
488  -0.25 -0.428571  0.272727 -0.666667  0.971613 -0.033770  0.402369 -0.368984  0.106109  0.317647  0.600000 -1.0000   46.70
489  -0.25 -0.428571  0.272727 -0.333333  0.971613 -0.033770  0.402369 -0.368984  0.183280  0.011765 -0.800000 -1.0000    0.00
490  -0.25 -0.428571  0.272727 -0.333333  0.971613 -0.033770  0.402369 -0.368984  0.704180 -0.576471 -0.200000 -1.0000    0.00
491  -0.25 -0.428571  0.272727  0.000000  0.989677  0.039972  0.445291 -0.508021  0.942122 -0.858824 -0.088889 -1.0000    0.00
492  -1.00 -0.714286  0.272727  0.333333  0.992258  0.081323  0.467574 -0.597148  0.942122 -0.717647 -0.600000 -1.0000    0.00
493  -1.00 -0.714286  0.272727  0.333333  0.992258  0.081323  0.467574 -0.597148  0.627010 -0.670588 -0.088889 -1.0000   43.32
494   0.25  0.142857  0.272727  0.666667  0.994839  0.122674  0.489621 -0.500891  0.839228 -0.647059  0.000000 -1.0000    8.59
495   0.25  0.142857  0.272727 -1.000000  1.000000  0.201930  0.533716 -0.401070  0.395498 -0.364706 -0.600000 -1.0000    0.00
496  -0.25 -0.142857  0.272727 -1.000000  1.000000  0.201930  0.533716 -0.401070  0.954984 -0.741176 -0.400000 -1.0000    2.77
497  -0.50 -0.428571  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.935691 -0.717647 -0.600000 -1.0000   14.68
498   0.25 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  1.000000 -0.741176 -0.488889 -1.0000   40.54
499   0.50 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.614148  0.129412  0.000000  1.0000   10.82
500   0.75  0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.247588  0.176471  0.000000 -0.7500    0.00
501   0.50 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.247588  0.176471  0.000000 -0.7500    0.00
502  -0.25 -0.428571  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.189711  0.270588  0.000000 -0.8750    0.00
503  -0.75 -0.428571  0.272727 -0.333333  0.956129 -0.046864  0.597748 -0.286988  0.736334 -0.647059  0.000000 -1.0000    1.95
504  -0.25 -0.714286  0.272727 -0.333333  0.956129 -0.046864  0.597748 -0.286988  0.717042 -0.670588  0.000000 -1.0000   49.59
505  -1.00 -1.000000  0.272727  0.000000  0.865806  0.117161  0.727454 -0.639929  0.575563 -0.529412 -0.688889 -1.0000    5.80
506  -1.00 -1.000000  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.048232  0.364706  0.800000 -1.0000    0.00
507  -0.75 -0.428571  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.524116 -0.388235 -0.288889 -1.0000    0.00
508  -1.00 -1.000000  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.524116 -0.388235 -0.288889 -1.0000    0.00
509   0.00 -0.428571  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.215434  0.317647  0.600000 -0.5625    2.17
510   0.25 -0.142857  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.028939  0.105882  0.111111 -1.0000    0.43
511   0.75  0.142857  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.646302 -0.529412 -0.488889 -1.0000    0.00
512  -0.25 -0.714286  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.646302 -0.600000 -0.488889 -1.0000    6.44
513  -0.75 -0.428571  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.266881  0.317647  0.200000 -1.0000   54.29
514   0.50 -0.428571  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.221865  0.294118  0.400000 -1.0000   11.16
515  -1.00 -0.428571  0.272727  0.666667  0.953548 -0.001378  0.423244 -0.597148  0.504823 -0.364706 -0.200000 -1.0000    0.00
516   0.25 -0.714286  0.818182 -0.666667  0.569032 -0.986906 -0.768266 -0.960784 -0.382637 -0.623529 -0.088889 -1.0000    0.00

[517 rows x 13 columns]
This is a regression set
the dataset is: 
[0.5, -0.1428571428571429, -0.6363636363636364, 0.33333333333333326, 0.7419354838709677, -0.8270158511371468, -0.797349595402838, -0.8181818181818182, -0.6141479099678457, -0.15294117647058825, 0.3999999999999999, -1.0, 0.0]
predicted: 14.527542541746689; actual: 0.0
predicted: 16.66290948708009; actual: 0.0
predicted: 14.474640894965024; actual: 0.47
predicted: 14.256297993226188; actual: 1.19
predicted: 16.89143522804281; actual: 1.75
predicted: 14.261278281058193; actual: 2.57
predicted: 14.338376926334085; actual: 5.33
predicted: 15.313185157957692; actual: 8.31
predicted: 14.493143457752888; actual: 11.53
predicted: 14.330302793793459; actual: 24.23
predicted: 14.176398071289418; actual: 32.07
predicted: 14.237208244525569; actual: 88.49
predicted: 16.978288491819356; actual: 0.0
predicted: 14.143285953000532; actual: 0.68
predicted: 14.66034034395796; actual: 8.85
predicted: 14.655882953484495; actual: 0.52
predicted: 14.288191614553114; actual: 9.27
predicted: 14.477860989351628; actual: 0.0
predicted: 14.733410588831536; actual: 0.0
predicted: 14.211576753133512; actual: 0.0
predicted: 14.18842578713081; actual: 34.36
predicted: 14.3484949400475; actual: 6.58
predicted: 14.416856889742013; actual: 3.93
predicted: 14.216446044889286; actual: 3.71
predicted: 14.18595609721854; actual: 1.09
predicted: 14.200748640169556; actual: 11.060000000000002
predicted: 14.274247324527593; actual: 7.73
predicted: 16.454403854753117; actual: 9.96
predicted: 14.252836927936064; actual: 8.16
predicted: 17.20058901721887; actual: 0.0
predicted: 14.126621127837458; actual: 185.76
predicted: 14.176469714930297; actual: 0.0
predicted: 14.195424776723035; actual: 0.0
predicted: 14.1760322132047; actual: 6.43
predicted: 14.21037115564651; actual: 0.0
predicted: 15.235589810619555; actual: 0.0
predicted: 14.123056968240192; actual: 2.75
predicted: 14.255157518953139; actual: 0.0
predicted: 14.14366372397861; actual: 0.0
predicted: 14.173298731576024; actual: 0.43000000000000005
l_rate: 0.5; n_epoch: 500, n_hidden: [9, 9]
epoch: 0, lrate: 0.500, error: 0.00040026
epoch: 100, lrate: 0.500, error: 0.00010113
epoch: 200, lrate: 0.500, error: 0.00012403
epoch: 300, lrate: 0.500, error: 0.00014245
epoch: 400, lrate: 0.500, error: 0.00015823
epoch: 500, lrate: 0.500, error: 0.00017286
the trained network:
there are a total of 2 hidden layers
there are 12 inputs
there are 9 nodes in the 1st hidden layer
there are 9 nodes in the 2nd hidden layer
there are 1 nodes in the output layer
layer 0: [{'weights': [0.047299339213029666, 0.5751792843334514, 0.7881349942180945, 0.5816527627717316, 0.23440391619278042, 0.7912674034150622, 0.7443969274353917, 0.05833148415769489, 0.6804683762073601, 0.16136250340591304, 0.7424249750847912, 0.35313363162502615, 0.09540752851834591], 'output': 0.6835918521630904, 'delta': -1.2272487880111296e-06}, {'weights': [0.2190242363443956, 0.582024442105714, 0.06500808072109662, -0.03138399730568158, 0.7311584763135857, 0.7518571121605304, 0.10210202738771873, 0.5542008904310431, 0.38045497165494935, 0.050221225752026304, 0.11135790977022374, 0.7886594600410387, 1.0849102964196726], 'output': 0.6701132519388854, 'delta': 5.709329388917589e-07}, {'weights': [0.5982967358736517, 0.14794116125428883, 0.367003985724351, 0.6890957133976117, 0.45628678943660367, 0.6901215276622429, 0.06661671964449306, 0.7416110387843572, 0.86230710843616, 0.0913057809182958, 0.6343344516179993, 0.05309155892446265, 0.8378340065964915], 'output': 0.8885447077625946, 'delta': -4.2147217054948814e-08}, {'weights': [0.28686095128495687, 0.8168600690255727, 0.03269208525539764, 0.4811520977586585, 0.7324329152172543, 0.4784156852646637, 0.7340653493667193, 0.7424082871268225, 0.17759547884691274, 0.6305769789755445, 0.1989865177175245, 0.7939555514187587, 1.0500769777298424], 'output': 0.7161069541704674, 'delta': -4.2975823826628526e-07}, {'weights': [0.15426608249847185, 0.8670963043593378, 0.8785408211267051, 0.9228931929797537, 0.5191933327808074, 0.9114590784337436, 0.6285049105923386, 0.6159396657430022, 0.8361794221797711, 0.3147214810345813, 0.7825738364229612, 0.9382163732094229, 0.41495539811114135], 'output': 0.7035957363478901, 'delta': -1.2251684880638158e-07}, {'weights': [0.11424371445741648, 0.19753322385771874, 0.19563681125008095, 0.41622660856959615, 1.0858102229789848, -0.07704140918090624, -0.007614546146177465, 0.44445980780773614, 0.24103313279462268, 0.24246737098257332, 0.4512014939810178, 0.26390019332111725, 1.074536155495806], 'output': 0.8953883948200739, 'delta': 4.817290597278051e-07}, {'weights': [0.47423097921185586, 0.8416466058759416, -0.01634386317949609, 0.4627054288581245, 0.9367808897434138, -0.17241571052292984, 0.6529227265498493, 0.0830388045765922, 0.399273219046319, 0.5907977193365639, 0.12022132728735634, 0.01875943583537924, 1.1460462779286822], 'output': 0.9399436500739724, 'delta': 3.660585214857422e-08}, {'weights': [0.08149614464567712, 0.5883887607250846, 0.4387174043634084, 0.9432091182942195, 0.8354654409972082, 0.7051581393987961, 0.5556546034526952, 0.8332633391878602, 0.05109857045326479, 0.42335307850751513, 0.6570289756023568, 0.3413014843467293, 0.431807848716109], 'output': 0.7740224868129002, 'delta': -8.331397352070393e-07}, {'weights': [0.5335245588458883, 0.8672459756800085, -0.0908884084968994, 0.2599907254987213, 0.41295540096109823, 0.5809552054662447, -0.04090758603646853, 0.42104845984215167, 0.13441473650114724, 0.5718865564122567, 0.08827001215445093, 0.7215012564524735, 0.6029147730335408], 'output': 0.5566146659051093, 'delta': 9.92694049833132e-07}]
node #0: {'weights': [0.047299339213029666, 0.5751792843334514, 0.7881349942180945, 0.5816527627717316, 0.23440391619278042, 0.7912674034150622, 0.7443969274353917, 0.05833148415769489, 0.6804683762073601, 0.16136250340591304, 0.7424249750847912, 0.35313363162502615, 0.09540752851834591], 'output': 0.6835918521630904, 'delta': -1.2272487880111296e-06}
node #1: {'weights': [0.2190242363443956, 0.582024442105714, 0.06500808072109662, -0.03138399730568158, 0.7311584763135857, 0.7518571121605304, 0.10210202738771873, 0.5542008904310431, 0.38045497165494935, 0.050221225752026304, 0.11135790977022374, 0.7886594600410387, 1.0849102964196726], 'output': 0.6701132519388854, 'delta': 5.709329388917589e-07}
node #2: {'weights': [0.5982967358736517, 0.14794116125428883, 0.367003985724351, 0.6890957133976117, 0.45628678943660367, 0.6901215276622429, 0.06661671964449306, 0.7416110387843572, 0.86230710843616, 0.0913057809182958, 0.6343344516179993, 0.05309155892446265, 0.8378340065964915], 'output': 0.8885447077625946, 'delta': -4.2147217054948814e-08}
node #3: {'weights': [0.28686095128495687, 0.8168600690255727, 0.03269208525539764, 0.4811520977586585, 0.7324329152172543, 0.4784156852646637, 0.7340653493667193, 0.7424082871268225, 0.17759547884691274, 0.6305769789755445, 0.1989865177175245, 0.7939555514187587, 1.0500769777298424], 'output': 0.7161069541704674, 'delta': -4.2975823826628526e-07}
node #4: {'weights': [0.15426608249847185, 0.8670963043593378, 0.8785408211267051, 0.9228931929797537, 0.5191933327808074, 0.9114590784337436, 0.6285049105923386, 0.6159396657430022, 0.8361794221797711, 0.3147214810345813, 0.7825738364229612, 0.9382163732094229, 0.41495539811114135], 'output': 0.7035957363478901, 'delta': -1.2251684880638158e-07}
node #5: {'weights': [0.11424371445741648, 0.19753322385771874, 0.19563681125008095, 0.41622660856959615, 1.0858102229789848, -0.07704140918090624, -0.007614546146177465, 0.44445980780773614, 0.24103313279462268, 0.24246737098257332, 0.4512014939810178, 0.26390019332111725, 1.074536155495806], 'output': 0.8953883948200739, 'delta': 4.817290597278051e-07}
node #6: {'weights': [0.47423097921185586, 0.8416466058759416, -0.01634386317949609, 0.4627054288581245, 0.9367808897434138, -0.17241571052292984, 0.6529227265498493, 0.0830388045765922, 0.399273219046319, 0.5907977193365639, 0.12022132728735634, 0.01875943583537924, 1.1460462779286822], 'output': 0.9399436500739724, 'delta': 3.660585214857422e-08}
node #7: {'weights': [0.08149614464567712, 0.5883887607250846, 0.4387174043634084, 0.9432091182942195, 0.8354654409972082, 0.7051581393987961, 0.5556546034526952, 0.8332633391878602, 0.05109857045326479, 0.42335307850751513, 0.6570289756023568, 0.3413014843467293, 0.431807848716109], 'output': 0.7740224868129002, 'delta': -8.331397352070393e-07}
node #8: {'weights': [0.5335245588458883, 0.8672459756800085, -0.0908884084968994, 0.2599907254987213, 0.41295540096109823, 0.5809552054662447, -0.04090758603646853, 0.42104845984215167, 0.13441473650114724, 0.5718865564122567, 0.08827001215445093, 0.7215012564524735, 0.6029147730335408], 'output': 0.5566146659051093, 'delta': 9.92694049833132e-07}
layer 1: [{'weights': [0.8912559288072455, 0.837173288542168, 1.012754685654616, 0.6546427178941518, 0.5262852631990368, 1.0775729745233102, 0.34934150234580014, 0.8256186950190547, 0.40757164971097404, 1.0675370021566073], 'output': 0.9978408333673039, 'delta': 4.126117849026548e-07}, {'weights': [0.6259841660130268, 0.30818321706261975, 0.48821202732971897, 0.5528370111264456, 0.654014114433682, 0.37049405523500684, 0.4825978730684779, 0.13611448896490136, 1.0018544445823427, 1.0304136135118758], 'output': 0.9879080294530274, 'delta': 1.459072329897216e-06}, {'weights': [0.6409949067641669, 0.5977577869446276, 0.8601971188017606, 0.9882390263142522, 0.5188539202384169, 0.7026517492285156, 0.7075064445904463, 0.17997897484718967, 0.8701946955637574, 0.2327600560812015], 'output': 0.9920484708411625, 'delta': 5.74989205929309e-07}, {'weights': [0.7271335898413183, 0.07247978243898899, 0.30562572926729503, 0.4422799927111732, 0.30712307669400707, -0.08191423905128928, 0.32837977415082825, 0.6691225423467422, 0.08631711117459986, -0.2329219861433211], 'output': 0.871959340135425, 'delta': -1.1913090980248096e-05}, {'weights': [0.0984716160498406, 0.9919484259345507, 0.1339898020950693, 0.32534125555091514, 0.08164650890967522, 0.4458824863333276, 0.6116944392412275, 0.6024481166375854, 0.7083907612885878, 0.7564417873483783], 'output': 0.9766323158706006, 'delta': 1.3818945786007836e-06}, {'weights': [0.9254832933921472, 0.34833418265390104, 0.4545596018606078, 0.7474457900361438, 0.27584341904015935, 0.8635977572360249, 0.9416901202314827, 0.07372444554699312, 0.3232148979483848, 0.9297854022222389], 'output': 0.9920330192785072, 'delta': 7.263746479751246e-07}, {'weights': [0.3883934460660029, 0.8721824928603457, 0.6389252533151614, 0.7349106918492815, 0.40770195700583906, 0.10405246861287487, 0.9160879960288331, 0.33831540566818075, 0.9508180017584658, 0.973487776658873], 'output': 0.9929638777723787, 'delta': 4.572870141883741e-07}, {'weights': [0.4109392169062375, 0.5667213201605792, 0.6137153076847756, 0.1721959766602359, 0.8604445083659199, 0.18828661470355743, 0.285979446423897, 0.5707701827883545, 0.039995684926767146, 0.728351029752508], 'output': 0.9724684960755001, 'delta': 3.5861407116385186e-07}, {'weights': [0.15128228679776984, 0.060025274967523044, 0.4144476687422231, 0.08814477048775715, 0.5840627795657362, 1.0448435592210346, 0.9235989994152607, 0.9716591750781047, 0.925720673493655, 0.34316404209828977], 'output': 0.9878733242554558, 'delta': 1.3584611988086196e-06}]
node #0: {'weights': [0.8912559288072455, 0.837173288542168, 1.012754685654616, 0.6546427178941518, 0.5262852631990368, 1.0775729745233102, 0.34934150234580014, 0.8256186950190547, 0.40757164971097404, 1.0675370021566073], 'output': 0.9978408333673039, 'delta': 4.126117849026548e-07}
node #1: {'weights': [0.6259841660130268, 0.30818321706261975, 0.48821202732971897, 0.5528370111264456, 0.654014114433682, 0.37049405523500684, 0.4825978730684779, 0.13611448896490136, 1.0018544445823427, 1.0304136135118758], 'output': 0.9879080294530274, 'delta': 1.459072329897216e-06}
node #2: {'weights': [0.6409949067641669, 0.5977577869446276, 0.8601971188017606, 0.9882390263142522, 0.5188539202384169, 0.7026517492285156, 0.7075064445904463, 0.17997897484718967, 0.8701946955637574, 0.2327600560812015], 'output': 0.9920484708411625, 'delta': 5.74989205929309e-07}
node #3: {'weights': [0.7271335898413183, 0.07247978243898899, 0.30562572926729503, 0.4422799927111732, 0.30712307669400707, -0.08191423905128928, 0.32837977415082825, 0.6691225423467422, 0.08631711117459986, -0.2329219861433211], 'output': 0.871959340135425, 'delta': -1.1913090980248096e-05}
node #4: {'weights': [0.0984716160498406, 0.9919484259345507, 0.1339898020950693, 0.32534125555091514, 0.08164650890967522, 0.4458824863333276, 0.6116944392412275, 0.6024481166375854, 0.7083907612885878, 0.7564417873483783], 'output': 0.9766323158706006, 'delta': 1.3818945786007836e-06}
node #5: {'weights': [0.9254832933921472, 0.34833418265390104, 0.4545596018606078, 0.7474457900361438, 0.27584341904015935, 0.8635977572360249, 0.9416901202314827, 0.07372444554699312, 0.3232148979483848, 0.9297854022222389], 'output': 0.9920330192785072, 'delta': 7.263746479751246e-07}
node #6: {'weights': [0.3883934460660029, 0.8721824928603457, 0.6389252533151614, 0.7349106918492815, 0.40770195700583906, 0.10405246861287487, 0.9160879960288331, 0.33831540566818075, 0.9508180017584658, 0.973487776658873], 'output': 0.9929638777723787, 'delta': 4.572870141883741e-07}
node #7: {'weights': [0.4109392169062375, 0.5667213201605792, 0.6137153076847756, 0.1721959766602359, 0.8604445083659199, 0.18828661470355743, 0.285979446423897, 0.5707701827883545, 0.039995684926767146, 0.728351029752508], 'output': 0.9724684960755001, 'delta': 3.5861407116385186e-07}
node #8: {'weights': [0.15128228679776984, 0.060025274967523044, 0.4144476687422231, 0.08814477048775715, 0.5840627795657362, 1.0448435592210346, 0.9235989994152607, 0.9716591750781047, 0.925720673493655, 0.34316404209828977], 'output': 0.9878733242554558, 'delta': 1.3584611988086196e-06}
output layer: [{'weights': [-1.1227744668943165, -0.7161100025101639, -0.42739313566003645, 0.6254521562813379, -0.3550548587036064, -0.5388580725671033, -0.3837808525071372, -0.07860420318105764, -0.6648515225296957, -0.617049541925259], 'output': 0.013147438812500805, 'delta': -0.00017058254485552595}]
node #0: {'weights': [-1.1227744668943165, -0.7161100025101639, -0.42739313566003645, 0.6254521562813379, -0.3550548587036064, -0.5388580725671033, -0.3837808525071372, -0.07860420318105764, -0.6648515225296957, -0.617049541925259], 'output': 0.013147438812500805, 'delta': -0.00017058254485552595}
predicted: 14.594637113782346; actual: 0.0
predicted: 14.415642252823533; actual: 0.0
predicted: 14.601951991151703; actual: 0.0
predicted: 14.415589409692304; actual: 0.0
predicted: 16.24002154456503; actual: 0.0
predicted: 14.666879793750134; actual: 0.0
predicted: 15.752071084404657; actual: 0.0
predicted: 14.551289159428094; actual: 0.0
predicted: 14.646380503560959; actual: 0.0
predicted: 14.365125443703294; actual: 0.0
predicted: 14.47137670674077; actual: 0.0
predicted: 15.68416028797568; actual: 0.0
predicted: 14.993201864378387; actual: 0.0
predicted: 16.04780126651053; actual: 0.0
predicted: 15.045068361745466; actual: 0.47
predicted: 14.26320645368823; actual: 1.19
predicted: 16.692858605692496; actual: 1.75
predicted: 14.512437819531938; actual: 2.57
predicted: 14.596259050268076; actual: 5.33
predicted: 14.656106746381061; actual: 8.31
predicted: 14.986481221814069; actual: 11.53
predicted: 14.660381957346608; actual: 24.23
predicted: 14.314933373217256; actual: 32.07
predicted: 14.507319682638986; actual: 88.49
predicted: 16.642888007574406; actual: 0.0
predicted: 14.23756216535711; actual: 0.68
predicted: 14.860717291904281; actual: 8.85
predicted: 14.959017951439153; actual: 0.52
predicted: 14.71901525978102; actual: 9.27
predicted: 14.446277138022902; actual: 0.0
predicted: 14.894042199485185; actual: 0.0
predicted: 14.413452541834639; actual: 0.0
predicted: 14.489942264963553; actual: 34.36
predicted: 14.600634708744037; actual: 6.58
predicted: 15.055562115496219; actual: 3.93
predicted: 14.416464578186167; actual: 3.71
predicted: 14.369093106168814; actual: 1.09
predicted: 14.480760193985882; actual: 11.060000000000002
predicted: 14.386520613649177; actual: 7.73
predicted: 16.26359573509675; actual: 9.96
predicted: 14.034450473016152; actual: 8.16
predicted: 16.558377266727973; actual: 0.0
predicted: 14.303045361779295; actual: 185.76
predicted: 14.422313818253318; actual: 0.0
predicted: 14.457008106845999; actual: 0.0
predicted: 14.366818369119297; actual: 6.43
predicted: 14.454821054148663; actual: 0.0
predicted: 14.575395667067458; actual: 0.0
predicted: 14.2646526782491; actual: 2.75
predicted: 14.343103801996612; actual: 0.0
predicted: 14.255746501625117; actual: 0.0
predicted: 14.38981718352748; actual: 0.43000000000000005
l_rate: 0.5; n_epoch: 300, n_hidden: [5, 5]
epoch: 0, lrate: 0.500, error: 0.00066674
epoch: 100, lrate: 0.500, error: 0.00010749
epoch: 200, lrate: 0.500, error: 0.00011632
epoch: 300, lrate: 0.500, error: 0.00012371
the trained network:
there are a total of 2 hidden layers
there are 12 inputs
there are 5 nodes in the 1st hidden layer
there are 5 nodes in the 2nd hidden layer
there are 1 nodes in the output layer
layer 0: [{'weights': [0.5460276063385952, 0.8815957804409746, 0.7693245074400014, 0.9101489697223332, 0.49291306350526576, -0.01216833802339572, 0.06542757051657487, 0.14148502313642966, 0.4678864545205177, 0.23592218740201726, 0.7420681661615612, 0.2329659868134401, 0.44757156870990067], 'output': 0.9103155826991582, 'delta': 1.004551262905345e-06}, {'weights': [0.5523862681549258, 0.624229058985693, 0.011343757467413548, 0.7744124747922596, 0.7404660662577998, -0.014700685939401749, 0.3417947058567785, 0.9172141974279298, 0.4765894501939395, 1.0182536048287847, 0.6419236024615216, 0.1629831238591688, 0.42846269176840535], 'output': 0.7941286740310939, 'delta': 2.5714293390900047e-06}, {'weights': [0.2613096663098396, 0.19863103117960706, 0.09305932921084216, 0.07899959155754246, 0.4210915552200496, 0.791412946411609, -0.00894791761149153, 0.8468453623074945, 0.18627213509577606, 1.018975366312628, 0.15006450129320664, 0.9701204533255114, 0.40922034047140476], 'output': 0.23091961769461208, 'delta': 1.6924655658859296e-06}, {'weights': [0.17280621112476827, 0.08040415138242031, 0.2546498651222981, 0.6994547630692199, 0.7161848553342666, 0.1682340721007327, 0.35447010536222207, -0.008285839462164225, -0.06064440675202905, 0.23673178280107277, 0.9093762943860286, -0.010338732978483136, 0.7135050784932568], 'output': 0.8985210677465154, 'delta': 1.5900117144370482e-06}, {'weights': [0.25736809659303156, 0.2161817924234177, 0.44877454070035677, -0.03404128535801749, 0.25447486138673636, -0.035306409338417444, 0.5408073869407327, 0.5677281257963603, 0.14113667426340681, 0.6513761736377375, 0.8331566003438153, 0.8389552422766552, 0.9134970623829309], 'output': 0.5311122394625197, 'delta': 3.4450661366221112e-06}]
