options: {'left_index': True, 'order_results': True, 'normalize_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
           RI        Na        Mg        Al        Si         K        Ca        Ba        Fe  result
0   -0.134328 -0.124812  1.000000 -0.495327 -0.296429 -0.980676 -0.382900 -1.000000 -1.000000       1
50   0.057946 -0.100752  0.657016 -0.862928 -0.307143 -0.971014 -0.139405 -1.000000 -0.372549       1
49  -0.312555 -0.142857  0.492205 -0.414330 -0.189286 -0.809984 -0.353160 -1.000000 -1.000000       1
48  -0.027217 -0.254135  0.679287 -0.688474 -0.221429 -0.958132 -0.146840 -1.000000 -1.000000       1
47   0.362599 -0.019549  0.648107 -0.738318 -0.371429 -0.993559 -0.184015 -1.000000 -0.607843       1
46  -0.338016 -0.260150  0.501114 -0.445483  0.039286 -0.816425 -0.368030 -1.000000 -0.372549       1
45  -0.310799 -0.169925  0.550111 -0.339564 -0.235714 -0.822866 -0.336431 -1.000000 -1.000000       1
51  -0.287972 -0.257143  0.483296 -0.383178 -0.089286 -0.806763 -0.310409 -1.000000 -0.568627       1
44  -0.410887 -0.398496  0.527840 -0.439252  0.121429 -0.800322 -0.381041 -1.000000  0.176471       1
42  -0.417032 -0.254135  0.510022 -0.352025  0.053571 -0.809984 -0.412639 -1.000000 -1.000000       1
41  -0.438104 -0.404511  0.523385 -0.433022  0.210714 -0.809984 -0.403346 -1.000000 -1.000000       1
40  -0.404741 -0.380451  0.559020 -0.482866  0.150000 -0.793881 -0.379182 -1.000000 -1.000000       1
39  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
38  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
37  -0.401229 -0.395489  0.550111 -0.339564  0.125000 -0.793881 -0.395911 -1.000000 -1.000000       1
43  -0.038630 -0.097744  0.710468 -0.732087 -0.303571 -0.945250 -0.198885 -1.000000 -1.000000       1
36  -0.302897 -0.049624  0.572383 -0.358255 -0.285714 -0.835749 -0.377323 -0.930159 -1.000000       1
52  -0.391572 -0.187970  0.278396 -0.439252  0.082143 -0.822866 -0.330855 -1.000000 -1.000000       1
55  -0.425812 -0.482707  0.207127 -0.376947  0.389286 -0.819646 -0.325279 -1.000000 -0.058824       1
69   0.040386 -0.224060  0.594655 -0.669782 -0.221429 -0.961353 -0.118959 -1.000000 -0.882353       1
68  -0.089552 -0.281203  0.594655 -0.619938 -0.146429 -0.925926 -0.184015 -1.000000 -0.372549       1
67  -0.089552 -0.302256  0.625835 -0.638629 -0.103571 -0.938808 -0.178439 -1.000000 -0.333333       1
66  -0.089552 -0.302256  0.625835 -0.638629 -0.139286 -0.938808 -0.178439 -1.000000 -0.333333       1
65  -0.136084 -0.109774  0.599109 -0.482866 -0.232143 -0.971014 -0.262082 -1.000000 -1.000000       1
64  -0.071993 -0.172932  0.665924 -0.619938 -0.214286 -0.942029 -0.223048 -1.000000 -0.725490       1
54  -0.417910 -0.254135  0.251670 -0.376947  0.132143 -0.835749 -0.332714 -1.000000 -0.647059       1
63  -0.023705  0.034586  0.697105 -0.694704 -0.450000 -1.000000 -0.208178 -1.000000 -1.000000       1
61  -0.243196 -0.073684  0.594655 -0.358255 -0.317857 -0.961353 -0.397770 -0.561905 -1.000000       1
60  -0.306409 -0.136842  0.612472 -0.489097  0.010714 -0.954911 -0.381041 -1.000000 -1.000000       1
59  -0.438982 -0.200000  0.630290 -0.439252  0.064286 -0.816425 -0.472119 -1.000000 -0.568627       1
..        ...       ...       ...       ...       ...       ...       ...       ...       ...     ...
180 -0.838455  0.103759 -0.224944 -0.221184  0.692857 -1.000000 -0.598513 -1.000000 -1.000000       6
204 -0.559263  0.269173 -1.000000  0.233645  0.246429 -1.000000 -0.390335 -0.574603 -1.000000       7
201 -0.527656 -0.633083 -1.000000 -0.439252  0.917857 -0.130435 -0.349442 -1.000000 -1.000000       7
202 -0.649693  0.239098 -1.000000  0.327103  0.396429 -1.000000 -0.449814 -0.644444 -1.000000       7
203 -0.523266  0.224060 -1.000000  0.059190  0.178571 -1.000000 -0.470260  0.085714 -1.000000       7
205 -0.458297  0.269173 -1.000000 -0.059190  0.135714 -1.000000 -0.408922 -0.015873 -1.000000       7
200 -0.654960  0.329323 -1.000000  0.221184  0.317857 -1.000000 -0.459108 -0.600000 -1.000000       7
207 -0.371378  0.100752 -1.000000 -0.046729  0.089286 -0.545894 -0.806691  0.828571 -1.000000       7
208 -0.539069  0.094737 -1.000000  0.526480  0.085714 -1.000000 -0.252788 -0.657143 -1.000000       7
209 -0.553995  0.025564 -1.000000  0.613707  0.000000 -0.974235 -0.302974 -0.326984 -1.000000       7
210 -0.499561  0.260150 -1.000000  0.059190  0.160714 -1.000000 -0.447955  0.009524 -1.000000       7
211 -0.165935  0.091729 -1.000000  0.077882  0.289286 -1.000000 -0.440520  0.041270 -1.000000       7
206 -0.534680  0.266165 -1.000000 -0.015576  0.178571 -1.000000 -0.397770 -0.123810 -1.000000       7
199 -0.566286  0.287218 -1.000000  0.383178  0.157143 -0.983897 -0.368030 -0.663492 -1.000000       7
212 -0.529412  0.097744 -1.000000  0.028037  0.357143 -1.000000 -0.433086 -0.003175 -1.000000       7
197 -0.462687  0.193985 -1.000000  0.277259  0.239286 -1.000000 -0.345725 -0.580952 -1.000000       7
196 -0.612818 -0.055639 -1.000000  0.401869  0.221429 -0.954911 -0.260223 -0.485714 -0.960784       7
195 -0.622476  0.025564 -1.000000  0.489097  0.278571 -0.974235 -0.323420 -0.612698 -0.803922       7
194 -0.501317  0.151880 -1.000000  0.052960  0.242857 -1.000000 -0.425651 -0.003175 -0.725490       7
193 -0.469710  0.209023 -1.000000  0.065421  0.146429 -1.000000 -0.423792  0.009524 -0.686275       7
192 -0.553995  0.043609 -1.000000  0.557632  0.303571 -0.987118 -0.328996 -0.746032 -0.647059       7
191 -0.572432  0.239098 -1.000000  0.302181  0.239286 -1.000000 -0.381041 -0.593651 -0.647059       7
190 -0.562774 -0.052632 -0.207127 -0.065421  0.175000 -1.000000 -0.397770 -0.517460 -1.000000       7
189  0.097454  0.521805 -0.184855 -0.364486 -0.778571 -0.900161 -0.408922  0.066667 -1.000000       7
188 -0.006146  0.242105 -0.020045  0.102804 -0.839286 -0.755233 -0.195167 -1.000000 -1.000000       7
187  0.053556 -0.184962  0.487751 -0.414330 -0.082143 -0.806763 -0.368030 -1.000000 -1.000000       7
186 -0.365233  0.079699  0.452116  0.202492 -0.485714 -0.529791 -0.933086  0.034921 -1.000000       7
185 -0.985953 -0.109774  0.425390 -0.052960  0.071429 -0.433172 -1.000000 -0.244444 -1.000000       7
198 -0.634767  0.097744 -1.000000  0.476636  0.175000 -0.987118 -0.321561 -0.593651 -1.000000       7
213 -0.476734  0.052632 -1.000000  0.115265  0.267857 -1.000000 -0.407063  0.060317 -1.000000       7

[214 rows x 10 columns]
This is a classification set
class key: {0: 1.0, 1: 2.0, 2: 3.0, 3: 5.0, 4: 6.0, 5: 7.0}
the dataset is: 
[-0.13432835820895783, -0.12481203007518771, 1.0, -0.49532710280373826, -0.29642857142857115, -0.9806763285024155, -0.3828996282527881, -1.0, -1.0, 0]
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 7.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 10; n_epoch: 500, n_hidden: [9]
epoch: 0, lrate: 10.000, error: 219.46408144
epoch: 100, lrate: 10.000, error: 121.79691618
epoch: 200, lrate: 10.000, error: 84.44512630
epoch: 300, lrate: 10.000, error: 116.82600381
epoch: 400, lrate: 10.000, error: 80.31938383
epoch: 500, lrate: 10.000, error: 86.07463876
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [17.942737542199552, -0.853629595641968, -3.44542784020849, -3.24518741521386, -5.046434421943367, 9.636867130503942, 12.694926595183603, 9.71903675984214, 7.734281385801112, -11.522643775333098], 'output': 1.5443684804526589e-21, 'delta': -8.538479279340815e-22}, {'weights': [-53.10748187011622, -3.746429611137911, 17.38588749627047, 60.97748501913619, -5.890612512071807, 16.592957152982336, -22.302717566775822, -6.575455359813296, 32.36593072492681, -7.457059032773462], 'output': 2.7062589683615154e-18, 'delta': -5.2857052523577796e-20}, {'weights': [-9.03101652760378, -36.974566741569035, -19.208280415645383, 13.690680838060818, 22.153351498729236, 8.821408619265451, 4.078076404961046, 7.2444517470464955, 5.653069116605326, 4.267436111921747], 'output': 8.393525150026948e-08, 'delta': -4.858369265899043e-08}, {'weights': [1.4656383517788847, 9.750359238278453, -1.5572845017245127, 19.971678670421554, -6.3115144704186426, -16.325885117150502, 0.41774572406664956, 18.545731147476307, -4.621905241126419, -1.023975170520452], 'output': 1.0327517411284314e-06, 'delta': 4.3195312368570896e-07}, {'weights': [2.1326972305573215, 6.952491240746057, 0.928268947409507, 15.514540447516845, -10.33063706341779, 5.569539854605235, -1.0252462028391816, -3.8384138459794386, 8.191599737952458, -2.33499997370738], 'output': 1.2768277337957962e-09, 'delta': 2.1018518210184023e-10}, {'weights': [-5.733916621540298, 6.933847616798345, -9.491156916272013, 8.67933826939461, 11.208191481016915, 9.408518908753578, -15.559262794873332, 16.174310682112143, -1.6785960317699469, 0.6059187208713718], 'output': 7.027242910774506e-10, 'delta': -1.5502281775274363e-11}, {'weights': [-92.75192082850576, -9.649521236294278, -6.129703665236958, 108.1000738287269, -37.73465207970281, 11.649976211340826, -34.80269179211979, -6.851595723240472, 19.62924016398479, -3.5016106621717005], 'output': 4.16254543305113e-13, 'delta': -5.110436488873808e-13}, {'weights': [15.993073142861196, -14.77009160985306, -16.86644603954416, 16.5359198484236, -27.685509864880288, 2.1060504135790175, 21.01015036967572, -4.821974472065838, 9.864117081002334, 5.160502173590713], 'output': 3.841268709651913e-12, 'delta': -3.450650424268631e-12}, {'weights': [0.480547461302352, 18.16200647246327, -28.008625622014453, 9.947904566242688, 9.340385482417318, -16.65307810367824, 11.353435560224577, 8.812364539642772, -15.449562348988678, -7.059136794487737], 'output': 0.004552239585233348, 'delta': -0.002102914031503311}]
node #0: {'weights': [17.942737542199552, -0.853629595641968, -3.44542784020849, -3.24518741521386, -5.046434421943367, 9.636867130503942, 12.694926595183603, 9.71903675984214, 7.734281385801112, -11.522643775333098], 'output': 1.5443684804526589e-21, 'delta': -8.538479279340815e-22}
node #1: {'weights': [-53.10748187011622, -3.746429611137911, 17.38588749627047, 60.97748501913619, -5.890612512071807, 16.592957152982336, -22.302717566775822, -6.575455359813296, 32.36593072492681, -7.457059032773462], 'output': 2.7062589683615154e-18, 'delta': -5.2857052523577796e-20}
node #2: {'weights': [-9.03101652760378, -36.974566741569035, -19.208280415645383, 13.690680838060818, 22.153351498729236, 8.821408619265451, 4.078076404961046, 7.2444517470464955, 5.653069116605326, 4.267436111921747], 'output': 8.393525150026948e-08, 'delta': -4.858369265899043e-08}
node #3: {'weights': [1.4656383517788847, 9.750359238278453, -1.5572845017245127, 19.971678670421554, -6.3115144704186426, -16.325885117150502, 0.41774572406664956, 18.545731147476307, -4.621905241126419, -1.023975170520452], 'output': 1.0327517411284314e-06, 'delta': 4.3195312368570896e-07}
node #4: {'weights': [2.1326972305573215, 6.952491240746057, 0.928268947409507, 15.514540447516845, -10.33063706341779, 5.569539854605235, -1.0252462028391816, -3.8384138459794386, 8.191599737952458, -2.33499997370738], 'output': 1.2768277337957962e-09, 'delta': 2.1018518210184023e-10}
node #5: {'weights': [-5.733916621540298, 6.933847616798345, -9.491156916272013, 8.67933826939461, 11.208191481016915, 9.408518908753578, -15.559262794873332, 16.174310682112143, -1.6785960317699469, 0.6059187208713718], 'output': 7.027242910774506e-10, 'delta': -1.5502281775274363e-11}
node #6: {'weights': [-92.75192082850576, -9.649521236294278, -6.129703665236958, 108.1000738287269, -37.73465207970281, 11.649976211340826, -34.80269179211979, -6.851595723240472, 19.62924016398479, -3.5016106621717005], 'output': 4.16254543305113e-13, 'delta': -5.110436488873808e-13}
node #7: {'weights': [15.993073142861196, -14.77009160985306, -16.86644603954416, 16.5359198484236, -27.685509864880288, 2.1060504135790175, 21.01015036967572, -4.821974472065838, 9.864117081002334, 5.160502173590713], 'output': 3.841268709651913e-12, 'delta': -3.450650424268631e-12}
node #8: {'weights': [0.480547461302352, 18.16200647246327, -28.008625622014453, 9.947904566242688, 9.340385482417318, -16.65307810367824, 11.353435560224577, 8.812364539642772, -15.449562348988678, -7.059136794487737], 'output': 0.004552239585233348, 'delta': -0.002102914031503311}
output layer: [{'weights': [-0.9419399070265208, -0.38874555268533034, -12.056227088332708, 3.3314406833914125, -4.9503012953260095, -4.838191025435234, -14.903117517143691, -9.368462729450139, -8.932911303342426, 1.4842784916720622], 'output': 0.6747921555287562, 'delta': 0.07136611426048747}, {'weights': [20.40022844443846, 0.8457069977355626, -10.724295664971415, -6.870389123294945, -21.35071151860868, -12.988915015992005, 6.729694020278714, 10.849178537929156, -6.020089042308195, -1.7952377621012674], 'output': 0.17062800350338692, 'delta': -0.02414626629004674}, {'weights': [-0.8062585139947958, -3.3295797198212447, -2.6315442820793926, -1.6988310192877643, -0.2742502188456016, -1.1150553229798816, 0.19122139366729243, -3.7499513685594317, -3.2959668250487044, -2.2949433185720145], 'output': 0.09761995548453349, 'delta': -0.008599371142726088}, {'weights': [-13.24323717714094, 4.09097853919191, 16.280486367308427, -10.877607790606255, 12.119411805114032, -6.365786329589305, -11.862280677091109, 8.829895927501289, -6.686327686247956, -13.033542517196306], 'output': 2.1202166962850927e-06, 'delta': -4.495309308156015e-12}, {'weights': [-2.771534088220152, -2.456522979204705, -13.696610913940724, 0.5496724254456363, -6.210504028718809, -0.6181290561692822, 1.4698601103435938, -6.851738883545461, 11.445857167188475, -8.155698248578007], 'output': 0.00030235883655044536, 'delta': -9.13932241334466e-08}, {'weights': [-4.3504672726216675, -1.1211880167544457, 8.467315506567395, 4.982891856316007, -13.088580472140114, 14.261995730113364, 2.637167550601401, -6.3435803294566355, -6.301570645133302, -13.283489961634817], 'output': 1.654234779240239e-06, 'delta': -2.7364881780465962e-12}]
node #0: {'weights': [-0.9419399070265208, -0.38874555268533034, -12.056227088332708, 3.3314406833914125, -4.9503012953260095, -4.838191025435234, -14.903117517143691, -9.368462729450139, -8.932911303342426, 1.4842784916720622], 'output': 0.6747921555287562, 'delta': 0.07136611426048747}
node #1: {'weights': [20.40022844443846, 0.8457069977355626, -10.724295664971415, -6.870389123294945, -21.35071151860868, -12.988915015992005, 6.729694020278714, 10.849178537929156, -6.020089042308195, -1.7952377621012674], 'output': 0.17062800350338692, 'delta': -0.02414626629004674}
node #2: {'weights': [-0.8062585139947958, -3.3295797198212447, -2.6315442820793926, -1.6988310192877643, -0.2742502188456016, -1.1150553229798816, 0.19122139366729243, -3.7499513685594317, -3.2959668250487044, -2.2949433185720145], 'output': 0.09761995548453349, 'delta': -0.008599371142726088}
node #3: {'weights': [-13.24323717714094, 4.09097853919191, 16.280486367308427, -10.877607790606255, 12.119411805114032, -6.365786329589305, -11.862280677091109, 8.829895927501289, -6.686327686247956, -13.033542517196306], 'output': 2.1202166962850927e-06, 'delta': -4.495309308156015e-12}
node #4: {'weights': [-2.771534088220152, -2.456522979204705, -13.696610913940724, 0.5496724254456363, -6.210504028718809, -0.6181290561692822, 1.4698601103435938, -6.851738883545461, 11.445857167188475, -8.155698248578007], 'output': 0.00030235883655044536, 'delta': -9.13932241334466e-08}
node #5: {'weights': [-4.3504672726216675, -1.1211880167544457, 8.467315506567395, 4.982891856316007, -13.088580472140114, 14.261995730113364, 2.637167550601401, -6.3435803294566355, -6.301570645133302, -13.283489961634817], 'output': 1.654234779240239e-06, 'delta': -2.7364881780465962e-12}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 7.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 6.0; actual: 7.0
l_rate: 10; n_epoch: 300, n_hidden: [5]
epoch: 0, lrate: 10.000, error: 226.11865718
epoch: 100, lrate: 10.000, error: 121.69406800
epoch: 200, lrate: 10.000, error: 105.91306672
epoch: 300, lrate: 10.000, error: 90.03613031
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [4.031876173911965, -16.248918729384666, -18.275721994349386, 12.027906937602985, 7.138295797481071, 2.490801835438637, 8.905043814316778, 5.066479896564762, 3.7339687811866233, 0.2396972133858721], 'output': 3.189748110257785e-10, 'delta': -5.969410028505814e-11}, {'weights': [7.53810457496476, 11.348744077617186, -48.62691918503781, 2.9765446778254967, -1.9831255694268535, -20.440550245903015, 21.601768051601802, -6.989636375920288, 13.654666456027703, 5.883866058157882], 'output': 1.3663399052944871e-05, 'delta': -1.0464827571634336e-05}, {'weights': [16.11259631975033, 10.284405095086921, -17.300028122995794, -19.8770353514541, -5.925385175207033, 3.1566829184140617, 21.860537094864547, 3.236957207592673, -0.2551018688808877, -10.6561823462408], 'output': 5.212286991252222e-13, 'delta': -3.1037199958188687e-13}, {'weights': [-77.64829702760215, -11.497690275377918, -3.6525910176387373, 86.36719760646673, -39.50568096267494, 13.358346737522895, -38.396092267150344, 9.119093074651262, 14.46817553623297, 7.680537874907909], 'output': 4.482694405915202e-11, 'delta': -2.942051055775682e-11}, {'weights': [-8.337156228861916, 14.045793318598129, -8.82522131755207, 5.231584473534618, 21.524492090196738, 3.0588580380710244, -20.199631306729525, 26.001931885411803, -3.462548331057433, -1.5965752234513397], 'output': 2.0009140996336826e-10, 'delta': 1.2410494050056101e-11}]
node #0: {'weights': [4.031876173911965, -16.248918729384666, -18.275721994349386, 12.027906937602985, 7.138295797481071, 2.490801835438637, 8.905043814316778, 5.066479896564762, 3.7339687811866233, 0.2396972133858721], 'output': 3.189748110257785e-10, 'delta': -5.969410028505814e-11}
node #1: {'weights': [7.53810457496476, 11.348744077617186, -48.62691918503781, 2.9765446778254967, -1.9831255694268535, -20.440550245903015, 21.601768051601802, -6.989636375920288, 13.654666456027703, 5.883866058157882], 'output': 1.3663399052944871e-05, 'delta': -1.0464827571634336e-05}
node #2: {'weights': [16.11259631975033, 10.284405095086921, -17.300028122995794, -19.8770353514541, -5.925385175207033, 3.1566829184140617, 21.860537094864547, 3.236957207592673, -0.2551018688808877, -10.6561823462408], 'output': 5.212286991252222e-13, 'delta': -3.1037199958188687e-13}
node #3: {'weights': [-77.64829702760215, -11.497690275377918, -3.6525910176387373, 86.36719760646673, -39.50568096267494, 13.358346737522895, -38.396092267150344, 9.119093074651262, 14.46817553623297, 7.680537874907909], 'output': 4.482694405915202e-11, 'delta': -2.942051055775682e-11}
node #4: {'weights': [-8.337156228861916, 14.045793318598129, -8.82522131755207, 5.231584473534618, 21.524492090196738, 3.0588580380710244, -20.199631306729525, 26.001931885411803, -3.462548331057433, -1.5965752234513397], 'output': 2.0009140996336826e-10, 'delta': 1.2410494050056101e-11}
output layer: [{'weights': [-11.015727654200065, -17.026423348089583, -4.647042707190278, -12.23044854268663, -4.7993628845834815, 1.5947076623666436], 'output': 0.761661938177293, 'delta': 0.04326623055305427}, {'weights': [-11.702736363146018, 2.1699658425231747, 17.621548656239593, 5.561276750077818, -10.946168901463052, -1.8437148737668858], 'output': 0.1660798269154617, 'delta': -0.023001610602890098}, {'weights': [-2.8638233828717485, -2.9151413026151562, -1.539680625965526, -0.10853719415105512, -2.522466006391716, -2.4070103702456733], 'output': 0.08817199814397686, 'delta': -0.007088825580724861}, {'weights': [15.781211015695643, -4.141026432879828, -6.529015025920977, -1.1032588602403084, -12.302242904205094, -6.853781347099942], 'output': 0.001054296378963787, 'delta': -1.1103689611979763e-06}, {'weights': [-10.124864452033837, 12.883086882059589, -4.605401643488174, -8.380086541755407, 3.7189141507307166, -10.324138123117786], 'output': 3.2835676856589406e-05, 'delta': -1.0781462718053002e-09}, {'weights': [8.71516665743499, -4.494877722552508, -6.442900090349073, 1.9866693372014887, 10.905841881235778, -9.8723131118124], 'output': 5.15774459899518e-05, 'delta': -2.6600957268258774e-09}]
node #0: {'weights': [-11.015727654200065, -17.026423348089583, -4.647042707190278, -12.23044854268663, -4.7993628845834815, 1.5947076623666436], 'output': 0.761661938177293, 'delta': 0.04326623055305427}
node #1: {'weights': [-11.702736363146018, 2.1699658425231747, 17.621548656239593, 5.561276750077818, -10.946168901463052, -1.8437148737668858], 'output': 0.1660798269154617, 'delta': -0.023001610602890098}
node #2: {'weights': [-2.8638233828717485, -2.9151413026151562, -1.539680625965526, -0.10853719415105512, -2.522466006391716, -2.4070103702456733], 'output': 0.08817199814397686, 'delta': -0.007088825580724861}
node #3: {'weights': [15.781211015695643, -4.141026432879828, -6.529015025920977, -1.1032588602403084, -12.302242904205094, -6.853781347099942], 'output': 0.001054296378963787, 'delta': -1.1103689611979763e-06}
node #4: {'weights': [-10.124864452033837, 12.883086882059589, -4.605401643488174, -8.380086541755407, 3.7189141507307166, -10.324138123117786], 'output': 3.2835676856589406e-05, 'delta': -1.0781462718053002e-09}
node #5: {'weights': [8.71516665743499, -4.494877722552508, -6.442900090349073, 1.9866693372014887, 10.905841881235778, -9.8723131118124], 'output': 5.15774459899518e-05, 'delta': -2.6600957268258774e-09}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 5.0
predicted: 7.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 10; n_epoch: 300, n_hidden: [9]
epoch: 0, lrate: 10.000, error: 223.44237107
epoch: 100, lrate: 10.000, error: 100.42070614
epoch: 200, lrate: 10.000, error: 130.94547240
epoch: 300, lrate: 10.000, error: 130.65141899
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [9.749602938612238, -1.1541272403473846, -3.583772015631579, -1.757679130748058, -7.028914078743491, 5.178242872688785, 10.36494092336686, 4.926434326530095, 4.467712300075405, -4.971833400496019], 'output': 3.225218956171567e-12, 'delta': -1.926149013334204e-13}, {'weights': [-0.6164303786696895, 0.809714978784722, 2.8969144448370514, 9.724955685704067, -5.095550532862452, 8.121622274880213, -2.6609565705300016, 0.33388902104521756, 8.451347576815785, -1.617441902739485], 'output': 2.0613501749757973e-09, 'delta': -1.1020353269408162e-09}, {'weights': [-1.6040093650917449, 0.1362087853975703, 0.9174164383394399, 12.91530838082146, -0.4151459828371931, 5.323726318820542, -3.87240593220287, 1.8968680164120837, 8.93115985123977, -2.3191036824748217], 'output': 6.888926048374415e-10, 'delta': -2.1742993323587745e-10}, {'weights': [4.4597112715676905, 3.4777573120250405, -35.219452210484654, 2.5328143861605588, 3.3609826869929336, -19.678287024260033, 15.091205560467778, -19.748265806924465, 0.9515985286466765, 12.044320407642827], 'output': 0.9999999999997453, 'delta': -3.2011617169003967e-13}, {'weights': [16.599881562780208, 2.072376864964004, -5.2424638348370864, -7.091965252218207, -12.321848995419037, 3.6370586726531138, 13.375013723940203, 3.7418187159978347, 6.538329940066084, -3.9572653287716753], 'output': 7.630320629916284e-13, 'delta': -5.968065830473111e-13}, {'weights': [9.78082168944003, -34.978871151026304, -17.01477349357887, -2.1823737712460782, 3.6694930301165107, 6.364457486705283, 29.301789537424565, -10.272435376926222, 9.324355683773044, -1.7460667605663023], 'output': 7.093809061503808e-08, 'delta': -8.18721817220392e-08}, {'weights': [-4.225493553310946, -6.532972336178725, -13.88385063598844, 16.499219301812293, 4.981704306555606, 15.307303738436884, -16.90584523032578, 27.40263079850952, -4.89633160041887, 4.866226874398647], 'output': 7.968405316195798e-15, 'delta': -8.64298266629371e-15}, {'weights': [-57.79090186281784, -6.572747247131971, -3.092029001333324, 75.31511040575441, -10.83418604902714, 10.744795648179364, -42.933582321234645, -12.070398436085915, 69.09884269196068, 19.671508609187015], 'output': 2.197003893290716e-19, 'delta': -2.741403338428584e-19}, {'weights': [-12.688639886138857, -9.000623824757344, 34.29266193158724, 37.54839858360518, -23.042838832196132, 7.315044091779333, -26.5345614550252, -10.00247216331754, 9.519281380941687, 12.400348019052013], 'output': 0.9999985796046629, 'delta': 9.314821909538444e-07}]
node #0: {'weights': [9.749602938612238, -1.1541272403473846, -3.583772015631579, -1.757679130748058, -7.028914078743491, 5.178242872688785, 10.36494092336686, 4.926434326530095, 4.467712300075405, -4.971833400496019], 'output': 3.225218956171567e-12, 'delta': -1.926149013334204e-13}
node #1: {'weights': [-0.6164303786696895, 0.809714978784722, 2.8969144448370514, 9.724955685704067, -5.095550532862452, 8.121622274880213, -2.6609565705300016, 0.33388902104521756, 8.451347576815785, -1.617441902739485], 'output': 2.0613501749757973e-09, 'delta': -1.1020353269408162e-09}
node #2: {'weights': [-1.6040093650917449, 0.1362087853975703, 0.9174164383394399, 12.91530838082146, -0.4151459828371931, 5.323726318820542, -3.87240593220287, 1.8968680164120837, 8.93115985123977, -2.3191036824748217], 'output': 6.888926048374415e-10, 'delta': -2.1742993323587745e-10}
node #3: {'weights': [4.4597112715676905, 3.4777573120250405, -35.219452210484654, 2.5328143861605588, 3.3609826869929336, -19.678287024260033, 15.091205560467778, -19.748265806924465, 0.9515985286466765, 12.044320407642827], 'output': 0.9999999999997453, 'delta': -3.2011617169003967e-13}
node #4: {'weights': [16.599881562780208, 2.072376864964004, -5.2424638348370864, -7.091965252218207, -12.321848995419037, 3.6370586726531138, 13.375013723940203, 3.7418187159978347, 6.538329940066084, -3.9572653287716753], 'output': 7.630320629916284e-13, 'delta': -5.968065830473111e-13}
node #5: {'weights': [9.78082168944003, -34.978871151026304, -17.01477349357887, -2.1823737712460782, 3.6694930301165107, 6.364457486705283, 29.301789537424565, -10.272435376926222, 9.324355683773044, -1.7460667605663023], 'output': 7.093809061503808e-08, 'delta': -8.18721817220392e-08}
