options: {'left_index': True, 'order_results': True, 'rename_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
          RI     Na    Mg    Al     Si     K     Ca    Ba    Fe  result
0   1.51708  13.72  3.68  1.81  72.06  0.64   7.88  0.00  0.00      2
1   1.52667  13.99  3.70  0.71  71.57  0.02   9.82  0.00  0.10      1
2   1.51751  12.81  3.57  1.35  73.02  0.62   8.59  0.00  0.00      1
3   1.51784  13.08  3.49  1.28  72.86  0.60   8.49  0.00  0.00      1
4   1.51918  14.04  3.58  1.37  72.08  0.56   8.30  0.00  0.00      1
5   1.51670  13.24  3.57  1.38  72.70  0.56   8.44  0.00  0.10      3
6   1.51640  14.37  0.00  2.74  72.85  0.00   9.45  0.54  0.00      7
7   1.51846  13.41  3.89  1.33  72.38  0.51   8.28  0.00  0.00      2
8   1.51994  13.27  0.00  1.76  73.03  0.47  11.32  0.00  0.00      5
9   1.52152  13.12  3.58  0.90  72.20  0.23   9.82  0.00  0.16      1
10  1.51839  12.85  3.67  1.24  72.57  0.62   8.68  0.00  0.35      2
11  1.52119  12.97  0.33  1.51  73.39  0.13  11.27  0.00  0.28      5
12  1.52315  13.44  3.34  1.23  72.38  0.60   8.83  0.00  0.00      7
13  1.51905  14.00  2.39  1.56  72.37  0.00   9.57  0.00  0.00      6
14  1.51666  12.86  0.00  1.83  73.88  0.97  10.17  0.00  0.00      5
15  1.51776  13.53  3.41  1.52  72.04  0.58   8.79  0.00  0.00      3
16  1.51569  13.24  3.49  1.47  73.25  0.38   8.03  0.00  0.00      2
17  1.52410  13.83  2.90  1.17  71.15  0.08  10.79  0.00  0.00      2
18  1.51753  12.57  3.47  1.38  73.39  0.60   8.55  0.00  0.06      1
19  1.51593  13.25  3.45  1.43  73.17  0.61   7.86  0.00  0.00      2
20  1.52068  13.55  2.09  1.67  72.18  0.53   9.57  0.27  0.17      2
21  1.51778  13.21  2.81  1.29  72.98  0.51   9.02  0.00  0.09      1
22  1.51719  14.75  0.00  2.00  73.02  0.00   8.53  1.59  0.08      7
23  1.51784  12.68  3.67  1.16  73.11  0.61   8.70  0.00  0.00      1
24  1.53125  10.73  0.00  2.10  69.81  0.58  13.30  3.15  0.28      2
25  1.51618  13.01  3.50  1.48  72.89  0.60   8.12  0.00  0.00      2
26  1.51800  13.71  3.93  1.54  71.81  0.54   8.21  0.00  0.15      2
27  1.51590  13.02  3.58  1.51  73.12  0.69   7.96  0.00  0.00      2
28  1.51653  11.95  0.00  1.19  75.18  2.70   8.93  0.00  0.00      7
29  1.52210  13.73  3.84  0.72  71.76  0.17   9.74  0.00  0.00      1
30  1.51590  13.24  3.34  1.47  73.10  0.39   8.22  0.00  0.00      2
31  1.51766  13.21  3.69  1.29  72.61  0.57   8.22  0.00  0.00      1
32  1.51779  13.21  3.39  1.33  72.76  0.59   8.59  0.00  0.00      1
33  1.51824  12.87  3.48  1.29  72.95  0.60   8.43  0.00  0.00      1
34  1.51720  13.38  3.50  1.15  72.85  0.50   8.43  0.00  0.00      1
35  1.51651  14.38  0.00  1.94  73.61  0.00   8.48  1.57  0.00      7
36  1.51646  13.04  3.40  1.26  73.01  0.52   8.58  0.00  0.00      3
37  1.51687  13.23  3.54  1.48  72.84  0.56   8.10  0.00  0.00      2
group 4:
         RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
0   1.51596  13.02  3.56  1.54  73.11  0.72   7.90  0.00  0.00      2
1   1.51813  13.43  3.98  1.18  72.49  0.58   8.15  0.00  0.00      2
2   1.51588  13.12  3.41  1.58  73.26  0.07   8.39  0.00  0.19      2
3   1.52081  13.78  2.28  1.43  71.99  0.49   9.85  0.00  0.17      2
4   1.51838  14.32  3.26  2.22  71.25  1.46   5.79  1.63  0.00      7
5   1.51610  13.33  3.53  1.34  72.67  0.56   8.33  0.00  0.00      3
6   1.51852  14.09  2.19  1.66  72.67  0.00   9.32  0.00  0.00      6
7   1.52151  11.03  1.71  1.56  73.44  0.58  11.62  0.00  0.00      5
8   1.51623  14.14  0.00  2.88  72.61  0.08   9.18  1.06  0.00      7
9   1.53393  12.30  0.00  1.00  70.16  0.12  16.19  0.00  0.24      2
10  1.51590  12.82  3.52  1.90  72.86  0.69   7.97  0.00  0.00      2
11  1.51909  13.89  3.53  1.32  71.81  0.51   8.78  0.11  0.00      1
12  1.51755  13.00  3.60  1.36  72.99  0.57   8.40  0.00  0.11      1
13  1.51761  12.81  3.54  1.23  73.24  0.58   8.39  0.00  0.00      1
14  1.51727  14.70  0.00  2.34  73.28  0.00   8.95  0.66  0.00      7
15  1.51847  13.10  3.97  1.19  72.44  0.60   8.43  0.00  0.00      2
16  1.51872  12.93  3.66  1.56  72.51  0.58   8.55  0.00  0.12      2
17  1.51709  13.00  3.47  1.79  72.72  0.66   8.18  0.00  0.00      2
18  1.51409  14.25  3.09  2.08  72.28  1.10   7.08  0.00  0.00      2
19  1.51618  13.53  3.55  1.54  72.99  0.39   7.78  0.00  0.00      1
20  1.52227  14.17  3.81  0.78  71.35  0.00   9.69  0.00  0.00      1
21  1.51768  12.56  3.52  1.43  73.15  0.57   8.54  0.00  0.00      1
22  1.51514  14.85  0.00  2.42  73.72  0.00   8.39  0.56  0.00      7
23  1.52725  13.80  3.15  0.66  70.57  0.08  11.64  0.00  0.00      2
24  1.52058  12.85  1.61  2.17  72.18  0.76   9.70  0.24  0.51      5
25  1.51736  12.78  3.62  1.29  72.79  0.59   8.70  0.00  0.00      1
26  1.51663  12.93  3.54  1.62  72.96  0.64   8.03  0.00  0.21      2
27  1.51796  13.50  3.36  1.63  71.94  0.57   8.81  0.00  0.09      3
28  1.51674  12.79  3.52  1.54  73.36  0.66   7.90  0.00  0.00      2
29  1.51215  12.99  3.47  1.12  72.98  0.62   8.35  0.00  0.31      1
30  1.52152  13.05  3.65  0.87  72.32  0.19   9.85  0.00  0.17      1
31  1.51610  13.42  3.40  1.22  72.69  0.59   8.32  0.00  0.00      3
32  1.51689  12.67  2.88  1.71  73.21  0.73   8.54  0.00  0.00      2
33  1.51755  12.71  3.42  1.20  73.20  0.59   8.64  0.00  0.00      1
34  1.51916  14.15  0.00  2.09  72.74  0.00  10.88  0.00  0.00      6
35  1.51623  14.20  0.00  2.79  73.46  0.04   9.04  0.40  0.09      7
36  1.51869  13.19  3.37  1.18  72.72  0.57   8.83  0.00  0.16      1
37  1.51763  12.61  3.59  1.31  73.29  0.58   8.50  0.00  0.00      1
group 5:
         RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
0   1.51808  13.43  2.87  1.19  72.84  0.55   9.03  0.00  0.00      1
1   1.51673  13.30  3.64  1.53  72.53  0.65   8.03  0.00  0.29      2
2   1.51829  14.46  2.24  1.62  72.38  0.00   9.26  0.00  0.00      6
3   1.51115  17.38  0.00  0.34  75.41  0.00   6.65  0.00  0.00      6
4   1.51556  13.87  0.00  2.54  73.23  0.14   9.41  0.81  0.01      7
5   1.51748  12.86  3.56  1.27  73.21  0.54   8.38  0.00  0.17      1
6   1.51769  13.65  3.66  1.11  72.77  0.11   8.60  0.00  0.00      3
7   1.52065  14.36  0.00  2.02  73.42  0.00   8.44  1.64  0.00      7
8   1.51934  13.64  3.54  0.75  72.65  0.16   8.89  0.15  0.24      3
9   1.52171  11.56  1.88  1.56  72.86  0.47  11.41  0.00  0.00      5
10  1.52172  13.51  3.86  0.88  71.79  0.23   9.54  0.00  0.11      1
11  1.51806  13.00  3.80  1.08  73.07  0.56   8.38  0.00  0.12      2
12  1.51602  14.85  0.00  2.38  73.28  0.00   8.76  0.64  0.09      7
13  1.51131  13.69  3.20  1.81  72.81  1.76   5.43  1.19  0.00      7
14  1.52043  13.38  0.00  1.40  72.25  0.33  12.50  0.00  0.00      5
15  1.51977  13.81  3.58  1.32  71.72  0.12   8.67  0.69  0.00      1
16  1.51756  13.15  3.61  1.05  73.24  0.57   8.24  0.00  0.00      1
17  1.51605  12.90  3.44  1.45  73.06  0.44   8.27  0.00  0.00      2
18  1.51841  13.02  3.62  1.06  72.34  0.64   9.13  0.00  0.15      2
19  1.51625  13.36  3.58  1.49  72.72  0.45   8.21  0.00  0.00      2
20  1.51966  14.77  3.75  0.29  72.02  0.03   9.00  0.00  0.00      1
21  1.52196  14.36  3.85  0.89  71.36  0.15   9.15  0.00  0.00      1
22  1.52614  13.70  0.00  1.36  71.24  0.19  13.44  0.00  0.10      2
23  1.51613  13.92  3.52  1.25  72.88  0.37   7.94  0.00  0.14      2
24  1.51652  13.56  3.57  1.47  72.45  0.64   7.96  0.00  0.00      2
25  1.51662  12.85  3.51  1.44  73.01  0.68   8.23  0.06  0.25      2
26  1.51793  13.21  3.48  1.41  72.64  0.59   8.43  0.00  0.00      1
27  1.51645  13.40  3.49  1.52  72.65  0.67   8.08  0.00  0.10      2
28  1.52152  13.05  3.65  0.87  72.22  0.19   9.85  0.00  0.17      1
29  1.51779  13.64  3.65  0.65  73.00  0.06   8.93  0.00  0.00      3
30  1.51631  13.34  3.57  1.57  72.87  0.61   7.89  0.00  0.00      2
31  1.51892  13.46  3.83  1.26  72.55  0.57   8.21  0.00  0.14      2
32  1.51761  13.89  3.60  1.36  72.73  0.48   7.83  0.00  0.00      1
33  1.51820  12.62  2.76  0.83  73.81  0.35   9.42  0.00  0.20      2
34  1.51900  13.49  3.48  1.35  71.95  0.55   9.00  0.00  0.00      1
35  1.51660  12.99  3.18  1.23  72.97  0.58   8.81  0.00  0.24      2
36  1.52213  14.21  3.82  0.47  71.77  0.11   9.57  0.00  0.00      1
37  1.51658  14.80  0.00  1.99  73.11  0.00   8.28  1.71  0.00      7

point is: Pandas(Index=0, RI=1.52101, Na=13.640000000000001, Mg=4.4900000000000002, Al=1.1000000000000001, Si=71.780000000000001, K=0.059999999999999998, Ca=8.75, Ba=0.0, Fe=0.0, result=1)
nearest rows: {6: 0.88701950936831298, 22: 0.98153267948652489}
The nearest 2 neighbors are: 
Pandas(Index=6, RI=1.51911, Na=13.9, Mg=3.73, Al=1.1799999999999999, Si=72.120000000000005, K=0.059999999999999998, Ca=8.8900000000000006, Ba=0.0, Fe=0.0, result=1)
Pandas(Index=22, RI=1.5184799999999998, Na=13.640000000000001, Mg=3.8700000000000001, Al=1.27, Si=71.959999999999994, K=0.54000000000000004, Ca=8.3200000000000003, Ba=0.0, Fe=0.32000000000000001, result=2)
the 2 nearest are: [1, 2]
guess: 1
actual: 1

point is: Pandas(Index=1, RI=1.5232000000000001, Na=13.720000000000001, Mg=3.7200000000000002, Al=0.51000000000000001, Si=71.75, K=0.089999999999999997, Ca=10.06, Ba=0.0, Fe=0.16, result=1)
nearest rows: {40: 0.46023042152817567, 68: 0.43943282763125491}
The nearest 2 neighbors are: 
Pandas(Index=68, RI=1.5221, Na=13.73, Mg=3.8399999999999999, Al=0.71999999999999997, Si=71.760000000000005, K=0.17000000000000001, Ca=9.7400000000000002, Ba=0.0, Fe=0.0, result=1)
Pandas(Index=40, RI=1.52667, Na=13.99, Mg=3.7000000000000002, Al=0.70999999999999996, Si=71.569999999999993, K=0.02, Ca=9.8200000000000003, Ba=0.0, Fe=0.10000000000000001, result=1)
the 2 nearest are: [1, 1]
guess: 1
actual: 1

point is: Pandas(Index=2, RI=1.51793, Na=12.789999999999999, Mg=3.5, Al=1.1200000000000001, Si=73.030000000000001, K=0.64000000000000001, Ca=8.7699999999999996, Ba=0.0, Fe=0.0, result=1)
nearest rows: {62: 0.23409401551513359, 110: 0.25980789903311263}
The nearest 2 neighbors are: 
Pandas(Index=62, RI=1.5178399999999999, Na=12.68, Mg=3.6699999999999999, Al=1.1599999999999999, Si=73.109999999999999, K=0.60999999999999999, Ca=8.6999999999999993, Ba=0.0, Fe=0.0, result=1)
Pandas(Index=110, RI=1.51755, Na=12.710000000000001, Mg=3.4199999999999999, Al=1.2, Si=73.200000000000003, K=0.58999999999999997, Ca=8.6400000000000006, Ba=0.0, Fe=0.0, result=1)
the 2 nearest are: [1, 1]
guess: 1
actual: 1

point is: Pandas(Index=3, RI=1.51905, Na=13.6, Mg=3.6200000000000001, Al=1.1100000000000001, Si=72.640000000000001, K=0.14000000000000001, Ca=8.7599999999999998, Ba=0.0, Fe=0.0, result=1)
nearest rows: {121: 0.21794919040913857, 123: 0.48487120362009584}
The nearest 2 neighbors are: 
Pandas(Index=121, RI=1.51769, Na=13.65, Mg=3.6600000000000001, Al=1.1100000000000001, Si=72.769999999999996, K=0.11, Ca=8.5999999999999996, Ba=0.0, Fe=0.0, result=3)
Pandas(Index=123, RI=1.5193399999999999, Na=13.640000000000001, Mg=3.54, Al=0.75, Si=72.650000000000006, K=0.16, Ca=8.8900000000000006, Ba=0.14999999999999999, Fe=0.23999999999999999, result=3)
the 2 nearest are: [3, 3]
guess: 3
actual: 1

point is: Pandas(Index=4, RI=1.5157100000000001, Na=12.720000000000001, Mg=3.46, Al=1.5600000000000001, Si=73.200000000000003, K=0.67000000000000004, Ca=8.0899999999999999, Ba=0.0, Fe=0.23999999999999999, result=1)
nearest rows: {9: 0.32924206353380764, 140: 0.30545184252185981}
The nearest 2 neighbors are: 
Pandas(Index=140, RI=1.5166200000000001, Na=12.85, Mg=3.5099999999999998, Al=1.4399999999999999, Si=73.010000000000005, K=0.68000000000000005, Ca=8.2300000000000004, Ba=0.059999999999999998, Fe=0.25, result=2)
Pandas(Index=9, RI=1.5162899999999999, Na=12.710000000000001, Mg=3.3300000000000001, Al=1.49, Si=73.280000000000001, K=0.67000000000000004, Ca=8.2400000000000002, Ba=0.0, Fe=0.0, result=2)
the 2 nearest are: [2, 2]
guess: 2
actual: 1

point is: Pandas(Index=5, RI=1.5176799999999999, Na=12.65, Mg=3.5600000000000001, Al=1.3, Si=73.079999999999998, K=0.60999999999999999, Ca=8.6899999999999995, Ba=0.0, Fe=0.14000000000000001, result=1)
nearest rows: {3: 0.228035269421204, 62: 0.23065130738844736}
The nearest 2 neighbors are: 
