options: {'value_encode': {1: {'n': -1, '?': 0, 'y': 1}, 2: {'n': -1, '?': 0, 'y': 1}, 3: {'n': -1, '?': 0, 'y': 1}, 4: {'n': -1, '?': 0, 'y': 1}, 5: {'n': -1, '?': 0, 'y': 1}, 6: {'n': -1, '?': 0, 'y': 1}, 7: {'n': -1, '?': 0, 'y': 1}, 8: {'n': -1, '?': 0, 'y': 1}, 9: {'n': -1, '?': 0, 'y': 1}, 10: {'n': -1, '?': 0, 'y': 1}, 11: {'n': -1, '?': 0, 'y': 1}, 12: {'n': -1, '?': 0, 'y': 1}, 13: {'n': -1, '?': 0, 'y': 1}, 14: {'n': -1, '?': 0, 'y': 1}, 15: {'n': -1, '?': 0, 'y': 1}, 16: {'n': -1, '?': 0, 'y': 1}}, 'normalize_cols': {2: 'handicapped-infants', 3: 'water-project-cost-sharing', 4: 'adoption-of-the-budget-resolution', 5: 'physician-fee-freeze', 6: 'el-salvador-aid', 7: 'religious-groups-in-schools', 8: 'anti-satellite-test-ban', 9: 'aid-to-nicaraguan-contras', 10: 'mx-missile', 11: 'immigration', 12: 'synfuels-corporation-cutback', 13: 'education-spending', 14: 'superfund-right-to-sue', 15: 'crime', 16: 'duty-free-exports', 17: 'export-administration-act-south-africa'}, 'result_col': 1, 'order_results': True}
     handicapped-infants  water-project-cost-sharing  adoption-of-the-budget-resolution  physician-fee-freeze  el-salvador-aid  religious-groups-in-schools  anti-satellite-test-ban  aid-to-nicaraguan-contras  mx-missile  immigration  synfuels-corporation-cutback  education-spending  superfund-right-to-sue  crime  duty-free-exports  export-administration-act-south-africa      result
192                 -1.0                        -1.0                               -1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0         -1.0                           1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
184                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
202                  1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
358                  1.0                         1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                           1.0                 1.0                     1.0    1.0               -1.0                                     0.0    democrat
222                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
221                 -1.0                         1.0                                1.0                  -1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
220                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
219                 -1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                     -1.0                        1.0         1.0         -1.0                           1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
218                  1.0                         0.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                           0.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
216                  1.0                         1.0                                1.0                  -1.0              1.0                          1.0                     -1.0                       -1.0         0.0          1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     0.0    democrat
203                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
215                 -1.0                         1.0                                1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                           1.0                 1.0                     1.0    1.0                1.0                                     0.0    democrat
213                 -1.0                         1.0                                1.0                  -1.0             -1.0                          1.0                     -1.0                        1.0         1.0         -1.0                           1.0                -1.0                     1.0   -1.0                1.0                                     1.0    democrat
212                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
210                 -1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
..                   ...                         ...                                ...                   ...              ...                          ...                      ...                        ...         ...          ...                           ...                 ...                     ...    ...                ...                                     ...         ...
235                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                    -1.0    1.0               -1.0                                     1.0  republican
155                  1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                        0.0        -1.0         -1.0                           1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
156                  1.0                         1.0                               -1.0                   1.0              1.0                          1.0                      1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
158                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
163                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                      1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
166                  1.0                        -1.0                                1.0                   1.0              1.0                          1.0                      1.0                        1.0        -1.0          1.0                          -1.0                 1.0                    -1.0    1.0                1.0                                     1.0  republican
167                  1.0                        -1.0                                1.0                   1.0              1.0                          1.0                      1.0                        1.0        -1.0          1.0                           1.0                 1.0                    -1.0    1.0                1.0                                     1.0  republican
171                 -1.0                         0.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
176                 -1.0                        -1.0                                1.0                   1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     1.0  republican
188                  1.0                         0.0                               -1.0                   1.0              1.0                          1.0                      1.0                        1.0        -1.0         -1.0                          -1.0                 1.0                     0.0    1.0                0.0                                     0.0  republican
190                 -1.0                         0.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     0.0  republican
191                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                        0.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     0.0  republican
195                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     0.0  republican
197                 -1.0                         0.0                                1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                -1.0                    -1.0    1.0               -1.0                                     1.0  republican
204                 -1.0                        -1.0                                1.0                   1.0              1.0                          1.0                      1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
206                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                    -1.0    1.0               -1.0                                     1.0  republican
207                  1.0                         0.0                               -1.0                   1.0              1.0                          1.0                      1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
211                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
214                  1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
433                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                      0.0                        0.0         0.0          0.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
223                 -1.0                        -1.0                               -1.0                   1.0              1.0                         -1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
224                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 0.0                     1.0    1.0               -1.0                                    -1.0  republican
225                 -1.0                         0.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
228                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    0.0               -1.0                                     1.0  republican
229                 -1.0                         1.0                                1.0                   1.0              1.0                          1.0                      1.0                       -1.0         1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
230                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
231                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0         1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
233                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
150                  1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
434                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0                0.0                                    -1.0  republican

[435 rows x 17 columns]
the tuning data set:
     handicapped-infants  water-project-cost-sharing  adoption-of-the-budget-resolution  physician-fee-freeze  el-salvador-aid  religious-groups-in-schools  anti-satellite-test-ban  aid-to-nicaraguan-contras  mx-missile  immigration  synfuels-corporation-cutback  education-spending  superfund-right-to-sue  crime  duty-free-exports  export-administration-act-south-africa      result
0                   1.0                         1.0                                1.0                  -1.0              0.0                          1.0                      1.0                        1.0        -1.0          1.0                           0.0                 0.0                    -1.0   -1.0                1.0                                     1.0    democrat
1                  -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
2                   1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0   -1.0               -1.0                                     1.0    democrat
3                  -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
4                  -1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
5                  -1.0                         1.0                               -1.0                  -1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0                1.0                                     1.0    democrat
6                   0.0                         0.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          0.0                           0.0                -1.0                    -1.0   -1.0                0.0                                     0.0    democrat
7                   1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      0.0                        1.0         1.0          0.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
8                  -1.0                         1.0                               -1.0                  -1.0             -1.0                          1.0                      1.0                       -1.0         1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
9                   1.0                        -1.0                                1.0                  -1.0              0.0                          1.0                      0.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0    1.0               -1.0                                     1.0    democrat
10                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0    1.0               -1.0                                     1.0    democrat
11                 -1.0                         1.0                                1.0                  -1.0             -1.0                          1.0                     -1.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0    1.0               -1.0                                     1.0    democrat
12                  1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
13                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0   -1.0               -1.0                                     1.0    democrat
14                  1.0                         1.0                                1.0                  -1.0             -1.0                          0.0                      1.0                        1.0        -1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
15                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                     1.0   -1.0                1.0                                     0.0    democrat
16                  1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                          -1.0                 1.0                    -1.0    1.0               -1.0                                     0.0    democrat
17                  1.0                         1.0                                1.0                  -1.0             -1.0                          0.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
18                  1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                           0.0                -1.0                    -1.0   -1.0               -1.0                                     0.0    democrat
19                  1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
20                  0.0                         0.0                               -1.0                  -1.0              0.0                          1.0                      0.0                       -1.0        -1.0         -1.0                           1.0                 1.0                    -1.0    1.0               -1.0                                     0.0    democrat
21                  1.0                         0.0                                1.0                  -1.0              0.0                          0.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
22                  1.0                         1.0                                1.0                  -1.0             -1.0                          1.0                      0.0                        1.0         1.0         -1.0                           1.0                -1.0                     1.0   -1.0                1.0                                     1.0    democrat
23                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
24                  1.0                        -1.0                               -1.0                  -1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                           1.0                 1.0                    -1.0    1.0               -1.0                                     1.0    democrat
25                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
26                 -1.0                        -1.0                                1.0                   1.0              1.0                          1.0                     -1.0                       -1.0         1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
27                  1.0                         1.0                                1.0                   1.0              1.0                          1.0                      1.0                        1.0        -1.0          1.0                          -1.0                -1.0                     1.0    1.0               -1.0                                     1.0  republican
28                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                        0.0        -1.0         -1.0                           0.0                 0.0                     0.0    1.0               -1.0                                     0.0  republican
29                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
30                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                           1.0                 1.0                    -1.0    1.0               -1.0                                     1.0  republican
31                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                           1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
32                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                           0.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
33                 -1.0                         0.0                                0.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0                0.0                                     1.0  republican
34                 -1.0                        -1.0                               -1.0                   1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0    1.0               -1.0                                     1.0  republican
35                 -1.0                         1.0                               -1.0                   1.0              1.0                         -1.0                     -1.0                       -1.0        -1.0         -1.0                           0.0                 0.0                     1.0    1.0               -1.0                                    -1.0  republican
36                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
37                 -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0                1.0                                    -1.0  republican
38                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
39                 -1.0                        -1.0                               -1.0                   1.0              1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
40                 -1.0                        -1.0                               -1.0                   1.0             -1.0                          1.0                      1.0                        0.0         1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
41                 -1.0                         0.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     0.0  republican
42                 -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
43                  1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                     1.0  republican
group 1:
    handicapped-infants  water-project-cost-sharing  adoption-of-the-budget-resolution  physician-fee-freeze  el-salvador-aid  religious-groups-in-schools  anti-satellite-test-ban  aid-to-nicaraguan-contras  mx-missile  immigration  synfuels-corporation-cutback  education-spending  superfund-right-to-sue  crime  duty-free-exports  export-administration-act-south-africa      result
0                  -1.0                        -1.0                                1.0                   1.0              1.0                          1.0                      1.0                        1.0        -1.0          1.0                          -1.0                -1.0                    -1.0    1.0               -1.0                                     1.0  republican
1                   1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
2                  -1.0                        -1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
3                  -1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0   -1.0               -1.0                                     1.0    democrat
4                  -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0          1.0                          -1.0                 1.0                     1.0    0.0               -1.0                                     0.0  republican
5                   0.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                           1.0                 0.0                    -1.0   -1.0                1.0                                     0.0    democrat
6                  -1.0                         1.0                               -1.0                   1.0              1.0                          1.0                     -1.0                       -1.0        -1.0         -1.0                          -1.0                 1.0                     1.0    1.0               -1.0                                    -1.0  republican
7                   1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0        -1.0          1.0                          -1.0                -1.0                    -1.0   -1.0               -1.0                                     1.0    democrat
8                  -1.0                         0.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
