options: {'missing_attributes': 'drop', 'left_index': True, 'normalize_cols': {2: 'clump_thickness', 3: 'cell_size_uniformity', 4: 'cell_size_shape', 5: 'marginal_adhesion', 6: 'single_epithesial_cell_size', 7: 'bare_nuclei', 8: 'bland_chromatin', 9: 'normal_nucleoti', 10: 'mitoses'}, 'result_col': 11, 'order_results': True}
     clump_thickness  cell_size_uniformity  cell_size_shape  marginal_adhesion  single_epithesial_cell_size  bare_nuclei  bland_chromatin  normal_nucleoti   mitoses  result
444        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
445        -0.111111             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
435        -0.333333             -1.000000        -1.000000          -0.555556                    -1.000000    -1.000000        -0.777778        -1.000000 -1.000000       2
446        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -0.111111        -1.000000        -1.000000 -1.000000       2
424        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
422        -0.333333             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
403        -0.111111             -0.777778        -0.777778          -0.777778                    -0.777778    -0.777778        -0.555556        -0.777778 -0.777778       2
404        -0.777778             -0.555556        -1.000000          -1.000000                    -0.111111    -1.000000        -1.000000        -1.000000 -1.000000       2
405        -0.555556             -0.777778        -0.777778          -0.555556                    -0.777778    -0.555556        -0.555556        -1.000000 -1.000000       2
407        -0.333333             -0.555556        -0.555556          -1.000000                    -0.777778    -1.000000        -0.555556        -0.555556 -1.000000       2
408        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
409        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
423        -0.333333             -1.000000        -0.555556          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
411        -0.111111             -0.555556         0.111111          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
414        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
415        -1.000000             -0.555556        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -0.777778 -1.000000       2
416        -0.111111             -1.000000        -1.000000          -0.555556                    -0.333333    -1.000000        -0.555556        -0.777778 -1.000000       2
..               ...                   ...              ...                ...                          ...          ...              ...              ...       ...     ...
377         1.000000              0.555556         0.333333          -0.333333                    -0.555556     1.000000         0.333333         0.777778 -1.000000       4
155         1.000000              0.333333         0.333333          -0.333333                    -0.111111     1.000000        -0.111111         0.333333 -0.777778       4
154         0.777778              0.777778         1.000000          -0.555556                     0.111111     1.000000         0.333333         1.000000  0.111111       4
290         1.000000              1.000000         1.000000           0.333333                     0.777778     1.000000         0.333333         1.000000  1.000000       4
151        -0.111111             -0.111111        -0.111111           0.111111                    -0.555556     1.000000        -0.555556        -1.000000 -1.000000       4
491         0.555556              1.000000         1.000000           1.000000                     0.333333    -0.111111        -0.333333         0.555556  0.333333       4
148         1.000000              1.000000         0.555556           0.111111                    -0.333333    -0.111111         0.555556         1.000000 -1.000000       4
147         0.333333             -0.777778        -0.333333          -1.000000                     0.111111     1.000000        -0.111111        -0.333333 -0.555556       4
239         0.555556              1.000000         1.000000           0.555556                    -0.111111     1.000000         0.333333         0.555556 -1.000000       4
145         0.555556              0.555556         0.333333          -0.333333                     1.000000     1.000000         0.333333         0.555556  0.333333       4
372         0.333333              0.111111         0.111111          -0.555556                    -0.777778     1.000000         0.333333        -1.000000 -1.000000       4
240         0.555556             -0.333333        -0.333333          -1.000000                    -0.777778     0.777778        -0.555556        -0.555556 -1.000000       4
142        -0.555556             -0.333333        -0.111111          -0.777778                     0.111111     0.555556        -0.333333        -1.000000 -1.000000       4
124         0.333333             -0.111111        -0.555556           0.333333                    -0.333333     1.000000         0.333333        -0.111111 -0.111111       4
499         0.111111              0.111111         0.333333           1.000000                    -0.555556     1.000000         0.555556         1.000000 -0.777778       4
139         0.777778             -0.111111        -0.111111          -0.333333                    -0.333333    -0.111111        -0.333333        -0.555556 -0.555556       4
504        -0.333333              0.333333         0.555556          -0.555556                    -0.333333     1.000000         0.777778        -1.000000 -1.000000       4
243         1.000000             -0.333333        -0.333333           1.000000                    -0.777778     1.000000        -0.111111        -0.555556 -0.555556       4
367         1.000000              0.111111        -0.555556           0.111111                    -0.333333     1.000000         0.333333         0.555556 -0.333333       4
507         1.000000             -0.333333        -0.111111          -0.333333                    -0.555556    -0.111111         0.333333        -0.555556 -1.000000       4
508         0.333333             -0.111111         0.111111           1.000000                    -0.333333     1.000000        -0.111111        -0.555556 -1.000000       4
245         0.111111              1.000000         1.000000          -0.777778                     0.555556     1.000000         0.333333        -0.555556 -0.555556       4
246         0.777778              1.000000         1.000000          -1.000000                     1.000000     0.555556        -0.555556        -0.555556 -1.000000       4
247        -0.111111              0.111111         0.111111          -0.777778                    -0.333333     1.000000        -0.555556         0.111111 -1.000000       4
515         0.333333             -0.333333        -0.333333          -0.555556                    -0.333333     1.000000         0.111111         0.777778 -1.000000       4
130        -0.111111              1.000000         0.555556           1.000000                     0.555556     1.000000        -0.555556         0.111111 -0.555556       4
252         1.000000             -0.111111         0.555556           1.000000                    -0.555556     1.000000        -0.111111        -1.000000 -0.555556       4
126         0.555556             -0.555556        -0.111111          -0.333333                    -0.111111     1.000000        -1.000000         0.111111 -0.777778       4
500        -0.333333              1.000000        -0.333333           0.333333                    -0.555556     1.000000         0.777778         1.000000 -1.000000       4
682        -0.333333              0.555556         0.555556          -0.111111                    -0.333333    -0.111111         1.000000        -0.333333 -1.000000       4

[683 rows x 10 columns]
options: {'missing_attributes': 'drop', 'left_index': True, 'normalize_cols': {2: 'clump_thickness', 3: 'cell_size_uniformity', 4: 'cell_size_shape', 5: 'marginal_adhesion', 6: 'single_epithesial_cell_size', 7: 'bare_nuclei', 8: 'bland_chromatin', 9: 'normal_nucleoti', 10: 'mitoses'}, 'result_col': 11, 'order_results': True}
     clump_thickness  cell_size_uniformity  cell_size_shape  marginal_adhesion  single_epithesial_cell_size  bare_nuclei  bland_chromatin  normal_nucleoti   mitoses  result
0          -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.555556        -1.000000 -1.000000       2
427        -1.000000             -1.000000        -1.000000          -0.555556                    -0.777778    -0.555556        -1.000000        -1.000000 -1.000000       2
428        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -0.777778        -1.000000        -1.000000 -1.000000       2
429        -0.111111             -1.000000        -1.000000           0.111111                    -0.555556    -1.000000        -0.777778        -1.000000 -1.000000       2
430        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
431        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
432        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
426        -0.111111             -0.777778        -0.777778          -0.333333                    -0.777778    -0.333333        -1.000000        -1.000000 -1.000000       2
433        -1.000000             -1.000000        -1.000000          -1.000000                    -1.000000    -1.000000        -1.000000        -1.000000 -1.000000       2
436        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
437        -0.555556             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
439        -0.777778             -0.555556        -1.000000          -1.000000                    -0.555556    -1.000000        -1.000000        -1.000000 -1.000000       2
443        -0.111111             -1.000000        -0.777778          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
444        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
445        -0.111111             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
435        -0.333333             -1.000000        -1.000000          -0.555556                    -1.000000    -1.000000        -0.777778        -1.000000 -1.000000       2
446        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -0.111111        -1.000000        -1.000000 -1.000000       2
424        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
422        -0.333333             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
403        -0.111111             -0.777778        -0.777778          -0.777778                    -0.777778    -0.777778        -0.555556        -0.777778 -0.777778       2
404        -0.777778             -0.555556        -1.000000          -1.000000                    -0.111111    -1.000000        -1.000000        -1.000000 -1.000000       2
405        -0.555556             -0.777778        -0.777778          -0.555556                    -0.777778    -0.555556        -0.555556        -1.000000 -1.000000       2
407        -0.333333             -0.555556        -0.555556          -1.000000                    -0.777778    -1.000000        -0.555556        -0.555556 -1.000000       2
408        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
409        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
423        -0.333333             -1.000000        -0.555556          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
411        -0.111111             -0.555556         0.111111          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
414        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
415        -1.000000             -0.555556        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -0.777778 -1.000000       2
416        -0.111111             -1.000000        -1.000000          -0.555556                    -0.333333    -1.000000        -0.555556        -0.777778 -1.000000       2
..               ...                   ...              ...                ...                          ...          ...              ...              ...       ...     ...
377         1.000000              0.555556         0.333333          -0.333333                    -0.555556     1.000000         0.333333         0.777778 -1.000000       4
155         1.000000              0.333333         0.333333          -0.333333                    -0.111111     1.000000        -0.111111         0.333333 -0.777778       4
154         0.777778              0.777778         1.000000          -0.555556                     0.111111     1.000000         0.333333         1.000000  0.111111       4
290         1.000000              1.000000         1.000000           0.333333                     0.777778     1.000000         0.333333         1.000000  1.000000       4
151        -0.111111             -0.111111        -0.111111           0.111111                    -0.555556     1.000000        -0.555556        -1.000000 -1.000000       4
491         0.555556              1.000000         1.000000           1.000000                     0.333333    -0.111111        -0.333333         0.555556  0.333333       4
148         1.000000              1.000000         0.555556           0.111111                    -0.333333    -0.111111         0.555556         1.000000 -1.000000       4
147         0.333333             -0.777778        -0.333333          -1.000000                     0.111111     1.000000        -0.111111        -0.333333 -0.555556       4
239         0.555556              1.000000         1.000000           0.555556                    -0.111111     1.000000         0.333333         0.555556 -1.000000       4
145         0.555556              0.555556         0.333333          -0.333333                     1.000000     1.000000         0.333333         0.555556  0.333333       4
372         0.333333              0.111111         0.111111          -0.555556                    -0.777778     1.000000         0.333333        -1.000000 -1.000000       4
240         0.555556             -0.333333        -0.333333          -1.000000                    -0.777778     0.777778        -0.555556        -0.555556 -1.000000       4
142        -0.555556             -0.333333        -0.111111          -0.777778                     0.111111     0.555556        -0.333333        -1.000000 -1.000000       4
124         0.333333             -0.111111        -0.555556           0.333333                    -0.333333     1.000000         0.333333        -0.111111 -0.111111       4
499         0.111111              0.111111         0.333333           1.000000                    -0.555556     1.000000         0.555556         1.000000 -0.777778       4
139         0.777778             -0.111111        -0.111111          -0.333333                    -0.333333    -0.111111        -0.333333        -0.555556 -0.555556       4
504        -0.333333              0.333333         0.555556          -0.555556                    -0.333333     1.000000         0.777778        -1.000000 -1.000000       4
243         1.000000             -0.333333        -0.333333           1.000000                    -0.777778     1.000000        -0.111111        -0.555556 -0.555556       4
367         1.000000              0.111111        -0.555556           0.111111                    -0.333333     1.000000         0.333333         0.555556 -0.333333       4
507         1.000000             -0.333333        -0.111111          -0.333333                    -0.555556    -0.111111         0.333333        -0.555556 -1.000000       4
508         0.333333             -0.111111         0.111111           1.000000                    -0.333333     1.000000        -0.111111        -0.555556 -1.000000       4
245         0.111111              1.000000         1.000000          -0.777778                     0.555556     1.000000         0.333333        -0.555556 -0.555556       4
246         0.777778              1.000000         1.000000          -1.000000                     1.000000     0.555556        -0.555556        -0.555556 -1.000000       4
247        -0.111111              0.111111         0.111111          -0.777778                    -0.333333     1.000000        -0.555556         0.111111 -1.000000       4
515         0.333333             -0.333333        -0.333333          -0.555556                    -0.333333     1.000000         0.111111         0.777778 -1.000000       4
130        -0.111111              1.000000         0.555556           1.000000                     0.555556     1.000000        -0.555556         0.111111 -0.555556       4
252         1.000000             -0.111111         0.555556           1.000000                    -0.555556     1.000000        -0.111111        -1.000000 -0.555556       4
126         0.555556             -0.555556        -0.111111          -0.333333                    -0.111111     1.000000        -1.000000         0.111111 -0.777778       4
500        -0.333333              1.000000        -0.333333           0.333333                    -0.555556     1.000000         0.777778         1.000000 -1.000000       4
682        -0.333333              0.555556         0.555556          -0.111111                    -0.333333    -0.111111         1.000000        -0.333333 -1.000000       4

[683 rows x 10 columns]
df: 
     clump_thickness  cell_size_uniformity  cell_size_shape  marginal_adhesion  single_epithesial_cell_size  bare_nuclei  bland_chromatin  normal_nucleoti   mitoses  result
0          -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.555556        -1.000000 -1.000000       0
427        -1.000000             -1.000000        -1.000000          -0.555556                    -0.777778    -0.555556        -1.000000        -1.000000 -1.000000       0
428        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -0.777778        -1.000000        -1.000000 -1.000000       0
429        -0.111111             -1.000000        -1.000000           0.111111                    -0.555556    -1.000000        -0.777778        -1.000000 -1.000000       0
430        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
431        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
432        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
426        -0.111111             -0.777778        -0.777778          -0.333333                    -0.777778    -0.333333        -1.000000        -1.000000 -1.000000       0
433        -1.000000             -1.000000        -1.000000          -1.000000                    -1.000000    -1.000000        -1.000000        -1.000000 -1.000000       0
436        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
437        -0.555556             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
439        -0.777778             -0.555556        -1.000000          -1.000000                    -0.555556    -1.000000        -1.000000        -1.000000 -1.000000       0
443        -0.111111             -1.000000        -0.777778          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
444        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
445        -0.111111             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
435        -0.333333             -1.000000        -1.000000          -0.555556                    -1.000000    -1.000000        -0.777778        -1.000000 -1.000000       0
446        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -0.111111        -1.000000        -1.000000 -1.000000       0
424        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
422        -0.333333             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
403        -0.111111             -0.777778        -0.777778          -0.777778                    -0.777778    -0.777778        -0.555556        -0.777778 -0.777778       0
404        -0.777778             -0.555556        -1.000000          -1.000000                    -0.111111    -1.000000        -1.000000        -1.000000 -1.000000       0
405        -0.555556             -0.777778        -0.777778          -0.555556                    -0.777778    -0.555556        -0.555556        -1.000000 -1.000000       0
407        -0.333333             -0.555556        -0.555556          -1.000000                    -0.777778    -1.000000        -0.555556        -0.555556 -1.000000       0
408        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       0
409        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
423        -0.333333             -1.000000        -0.555556          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
411        -0.111111             -0.555556         0.111111          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       0
414        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       0
415        -1.000000             -0.555556        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -0.777778 -1.000000       0
416        -0.111111             -1.000000        -1.000000          -0.555556                    -0.333333    -1.000000        -0.555556        -0.777778 -1.000000       0
..               ...                   ...              ...                ...                          ...          ...              ...              ...       ...     ...
377         1.000000              0.555556         0.333333          -0.333333                    -0.555556     1.000000         0.333333         0.777778 -1.000000       1
155         1.000000              0.333333         0.333333          -0.333333                    -0.111111     1.000000        -0.111111         0.333333 -0.777778       1
154         0.777778              0.777778         1.000000          -0.555556                     0.111111     1.000000         0.333333         1.000000  0.111111       1
290         1.000000              1.000000         1.000000           0.333333                     0.777778     1.000000         0.333333         1.000000  1.000000       1
151        -0.111111             -0.111111        -0.111111           0.111111                    -0.555556     1.000000        -0.555556        -1.000000 -1.000000       1
491         0.555556              1.000000         1.000000           1.000000                     0.333333    -0.111111        -0.333333         0.555556  0.333333       1
148         1.000000              1.000000         0.555556           0.111111                    -0.333333    -0.111111         0.555556         1.000000 -1.000000       1
147         0.333333             -0.777778        -0.333333          -1.000000                     0.111111     1.000000        -0.111111        -0.333333 -0.555556       1
239         0.555556              1.000000         1.000000           0.555556                    -0.111111     1.000000         0.333333         0.555556 -1.000000       1
145         0.555556              0.555556         0.333333          -0.333333                     1.000000     1.000000         0.333333         0.555556  0.333333       1
372         0.333333              0.111111         0.111111          -0.555556                    -0.777778     1.000000         0.333333        -1.000000 -1.000000       1
240         0.555556             -0.333333        -0.333333          -1.000000                    -0.777778     0.777778        -0.555556        -0.555556 -1.000000       1
142        -0.555556             -0.333333        -0.111111          -0.777778                     0.111111     0.555556        -0.333333        -1.000000 -1.000000       1
124         0.333333             -0.111111        -0.555556           0.333333                    -0.333333     1.000000         0.333333        -0.111111 -0.111111       1
499         0.111111              0.111111         0.333333           1.000000                    -0.555556     1.000000         0.555556         1.000000 -0.777778       1
139         0.777778             -0.111111        -0.111111          -0.333333                    -0.333333    -0.111111        -0.333333        -0.555556 -0.555556       1
504        -0.333333              0.333333         0.555556          -0.555556                    -0.333333     1.000000         0.777778        -1.000000 -1.000000       1
243         1.000000             -0.333333        -0.333333           1.000000                    -0.777778     1.000000        -0.111111        -0.555556 -0.555556       1
367         1.000000              0.111111        -0.555556           0.111111                    -0.333333     1.000000         0.333333         0.555556 -0.333333       1
507         1.000000             -0.333333        -0.111111          -0.333333                    -0.555556    -0.111111         0.333333        -0.555556 -1.000000       1
508         0.333333             -0.111111         0.111111           1.000000                    -0.333333     1.000000        -0.111111        -0.555556 -1.000000       1
245         0.111111              1.000000         1.000000          -0.777778                     0.555556     1.000000         0.333333        -0.555556 -0.555556       1
246         0.777778              1.000000         1.000000          -1.000000                     1.000000     0.555556        -0.555556        -0.555556 -1.000000       1
247        -0.111111              0.111111         0.111111          -0.777778                    -0.333333     1.000000        -0.555556         0.111111 -1.000000       1
515         0.333333             -0.333333        -0.333333          -0.555556                    -0.333333     1.000000         0.111111         0.777778 -1.000000       1
130        -0.111111              1.000000         0.555556           1.000000                     0.555556     1.000000        -0.555556         0.111111 -0.555556       1
252         1.000000             -0.111111         0.555556           1.000000                    -0.555556     1.000000        -0.111111        -1.000000 -0.555556       1
126         0.555556             -0.555556        -0.111111          -0.333333                    -0.111111     1.000000        -1.000000         0.111111 -0.777778       1
500        -0.333333              1.000000        -0.333333           0.333333                    -0.555556     1.000000         0.777778         1.000000 -1.000000       1
682        -0.333333              0.555556         0.555556          -0.111111                    -0.333333    -0.111111         1.000000        -0.333333 -1.000000       1

[683 rows x 10 columns]
options: {'missing_attributes': 'drop', 'left_index': True, 'normalize_cols': {2: 'clump_thickness', 3: 'cell_size_uniformity', 4: 'cell_size_shape', 5: 'marginal_adhesion', 6: 'single_epithesial_cell_size', 7: 'bare_nuclei', 8: 'bland_chromatin', 9: 'normal_nucleoti', 10: 'mitoses'}, 'result_col': 11, 'order_results': True}
     clump_thickness  cell_size_uniformity  cell_size_shape  marginal_adhesion  single_epithesial_cell_size  bare_nuclei  bland_chromatin  normal_nucleoti   mitoses  result
0          -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.555556        -1.000000 -1.000000       2
427        -1.000000             -1.000000        -1.000000          -0.555556                    -0.777778    -0.555556        -1.000000        -1.000000 -1.000000       2
428        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -0.777778        -1.000000        -1.000000 -1.000000       2
429        -0.111111             -1.000000        -1.000000           0.111111                    -0.555556    -1.000000        -0.777778        -1.000000 -1.000000       2
430        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
431        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
432        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
426        -0.111111             -0.777778        -0.777778          -0.333333                    -0.777778    -0.333333        -1.000000        -1.000000 -1.000000       2
433        -1.000000             -1.000000        -1.000000          -1.000000                    -1.000000    -1.000000        -1.000000        -1.000000 -1.000000       2
436        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
437        -0.555556             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
439        -0.777778             -0.555556        -1.000000          -1.000000                    -0.555556    -1.000000        -1.000000        -1.000000 -1.000000       2
443        -0.111111             -1.000000        -0.777778          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
444        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
445        -0.111111             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
435        -0.333333             -1.000000        -1.000000          -0.555556                    -1.000000    -1.000000        -0.777778        -1.000000 -1.000000       2
446        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -0.111111        -1.000000        -1.000000 -1.000000       2
424        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
422        -0.333333             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
403        -0.111111             -0.777778        -0.777778          -0.777778                    -0.777778    -0.777778        -0.555556        -0.777778 -0.777778       2
404        -0.777778             -0.555556        -1.000000          -1.000000                    -0.111111    -1.000000        -1.000000        -1.000000 -1.000000       2
405        -0.555556             -0.777778        -0.777778          -0.555556                    -0.777778    -0.555556        -0.555556        -1.000000 -1.000000       2
407        -0.333333             -0.555556        -0.555556          -1.000000                    -0.777778    -1.000000        -0.555556        -0.555556 -1.000000       2
408        -0.111111             -1.000000        -0.555556          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
409        -0.555556             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
423        -0.333333             -1.000000        -0.555556          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
411        -0.111111             -0.555556         0.111111          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
414        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -1.000000 -1.000000       2
415        -1.000000             -0.555556        -1.000000          -1.000000                    -0.777778    -1.000000        -0.777778        -0.777778 -1.000000       2
416        -0.111111             -1.000000        -1.000000          -0.555556                    -0.333333    -1.000000        -0.555556        -0.777778 -1.000000       2
..               ...                   ...              ...                ...                          ...          ...              ...              ...       ...     ...
377         1.000000              0.555556         0.333333          -0.333333                    -0.555556     1.000000         0.333333         0.777778 -1.000000       4
155         1.000000              0.333333         0.333333          -0.333333                    -0.111111     1.000000        -0.111111         0.333333 -0.777778       4
154         0.777778              0.777778         1.000000          -0.555556                     0.111111     1.000000         0.333333         1.000000  0.111111       4
290         1.000000              1.000000         1.000000           0.333333                     0.777778     1.000000         0.333333         1.000000  1.000000       4
151        -0.111111             -0.111111        -0.111111           0.111111                    -0.555556     1.000000        -0.555556        -1.000000 -1.000000       4
491         0.555556              1.000000         1.000000           1.000000                     0.333333    -0.111111        -0.333333         0.555556  0.333333       4
148         1.000000              1.000000         0.555556           0.111111                    -0.333333    -0.111111         0.555556         1.000000 -1.000000       4
147         0.333333             -0.777778        -0.333333          -1.000000                     0.111111     1.000000        -0.111111        -0.333333 -0.555556       4
239         0.555556              1.000000         1.000000           0.555556                    -0.111111     1.000000         0.333333         0.555556 -1.000000       4
145         0.555556              0.555556         0.333333          -0.333333                     1.000000     1.000000         0.333333         0.555556  0.333333       4
372         0.333333              0.111111         0.111111          -0.555556                    -0.777778     1.000000         0.333333        -1.000000 -1.000000       4
240         0.555556             -0.333333        -0.333333          -1.000000                    -0.777778     0.777778        -0.555556        -0.555556 -1.000000       4
142        -0.555556             -0.333333        -0.111111          -0.777778                     0.111111     0.555556        -0.333333        -1.000000 -1.000000       4
124         0.333333             -0.111111        -0.555556           0.333333                    -0.333333     1.000000         0.333333        -0.111111 -0.111111       4
