options: {'rename_cols': {1: 'vendor', 2: 'model', 3: 'MYCT', 4: 'MMIN', 5: 'MMAX', 6: 'CACH', 7: 'CHMIN', 8: 'CHMAX', 9: 'PRP'}, 'result_col': 10, 'drop_columns': ['model', 'PRP']}
        vendor  MYCT   MMIN   MMAX  CACH  CHMIN  CHMAX  result
10           ncr   112   1000   1000    0     1     4     19
11         gould    75   2000   8000   64     1    38     75
12      magnuson    50   2000  16000   24     6    16     88
13           ncr    38   8000  24000  160     4     8    281
14          basf    50   4000  16000   65     1     8    117
15         c.r.d   320    128   6000    0     1    12     28
16            dg   140   1000  16000   16     1     3     72
17           ncr    56   4000  12000    0     1     8     62
18           ibm   800    768   2000    0     0     0     20
19  perkin-elmer   250    512   4000    0     4     7     24
20           ibm    26  16000  32000   64     8    24    350
21           nas    92   2000   8000   32     1     6     53
22           ibm   225   2000   4000    8     3     6     31
23        cambex    50   2000  16000    8     3     5     74
24       siemens   105   2000   8000   16     4    14     47
25        amdahl    29   8000  32000   32     8    32    253
26            hp   105   1000   4000    0     3    24     28
27           dec   810    512    512    8     1     1     18
28        sperry    50   2000  32000  112    52   104    341
29         prime   160   1000   8000   16     1    14     43
30           ibm   900   1000   1000    0     1     2     18
31           nas    60   4000  16000   64     5     8    117
32        harris   300    768   3000    6     6    24     25
33     burroughs   143   1000   2000    0     5    16     22
34           ibm  1100    512   1500    0     1     1     18
35        harris   180    768  12000    6     1    31     53
36           ipl    50   2000  16000   24     1     6     82
37        amdahl    23  16000  32000   64    16    32    381
group 3:
          vendor  MYCT   MMIN   MMAX CACH CHMIN CHMAX result
0        siemens    52   4000  16000   32     4    12     99
1      honeywell   140   2000   4000    0     4     8     29
2            ibm   180   2000   8000    8     1     6     42
3         harris   300    768  12000    6     6    24     52
4             hp   105   2000   4000    8     3    19     33
5      burroughs   110   5000   5000  142     8    64    124
6            bti   350     64     64    0     1     4     15
7            nas    92   2000   8000    4     1     6     41
8   perkin-elmer   250   1000  16000    1     1     8     64
9       magnuson   100   1000   8000    0     2     6     37
10           ncr    38   4000  16000  128    16    32    190
11     honeywell   300   1000   4000    8     3    64     30
12      magnuson    50   2000  16000   24     6    16     88
13           ibm    25   2000  12000   16     3     5     65
14           ibm   900    512   1000    0     1     2     17
15           dec   810   1000   5000    0     1     1     28
16           nas    50   4000  16000   64     5    10    119
17          wang   480   1000   4000    0     0     0     25
18       siemens   240    512   1000    8     1     3     19
19           nas    38  16000  32000  128    16    32    426
20           ncr    84   1000   2000    0     1     6     21
21        amdahl    23  16000  64000   64    16    32    749
22           ipl    50   2000   4000    0     3     6     30
23           ibm  1100    768   2000    0     1     1     20
24           ncr    56   4000  16000    0     1     8     78
25           cdc    50    500   2000    8     1     4     23
26        sperry   180    512   4000    0     1     3     24
27            dg   200   1000   8000    0     1     2     36
28         c.r.d   320    512   2000    4     1     3     21
29           ibm    26   8000  32000    0     8    24    220
30       siemens    26   8000  32000  128    24    32    382
31     formation   800    256   8000    0     1     4     34
32     honeywell   140   2000   4000    8     1    20     32
33        sperry    50   4000  32000  112    52   104    360
34           cdc    25   1310   2620  131    12    24    102
35        cambex    50   2000  16000    8     3     6     74
36        amdahl    29   8000  32000   32     8    32    253
37         gould    75   2000  16000   64     1    38    113
group 4:
       vendor MYCT   MMIN   MMAX CACH CHMIN CHMAX result
0         ncr   38   4000   8000   32    16    32     80
1         cdc   50   2620  10480   30    12    24     74
2         nas   75   4000  16000   16     1     6     86
3   burroughs  143   3100   6200    0     5    20     39
4   honeywell  140   2000   4000    8     1    20     32
5   microdata  150    512   4000    0     8   128     33
6      amdahl   29   8000  16000   32     8    16    132
7         cdc   50   1000   4000    8     1     5     29
8      cambex   50   2000  16000    8     3     6     74
9       c.r.d  320    256   6000    0     1     6     28
10      prime  160    512   4000    2     1     5     25
11        ibm   17   4000  16000   32     6    12    116
12  honeywell  300   1000  16000    8     2   112     73
13        ibm  900   1000   4000    4     1     2     26
14     sperry   30   8000  64000   96    12   176    919
15     harris  300    768   4500    0     1    24     27
16        bti  200    512  16000    0     4    32     64
17        ibm   57   4000  16000    1     6    12     82
18        ibm  600    768   2000    0     1     1     20
19        ipl   50   2000   8000    8     3     6     44
20        nas   72   4000  16000   64     8    16    120
21         dg  110   1000   4000   16     1     2     30
22        ibm  185   2000  16000   16     1     6     76
23     sperry  124   1000   8000    0     1     8     37
24    nixdorf  200   1000   4000    0     1     4     25
25      gould   75   2000  16000  128     1    38    157
26     amdahl   23  32000  64000  128    32    64   1238
27  formation  800    256   8000    0     1     4     34
28    siemens   70   4000  12000    8     6     8     67
29   magnuson  100   1000   8000   24     2     6     46
30        ncr   56   1000   4000    0     1     6     26
31        nas   48   4000  24000   32     8    24    151
32        dec  320    512   8000    4     1     5     36
33        ibm   26   8000  16000    0     8    16    113
34         hp   75   3000   8000    8     3    48     54
35     sperry  116   2000   8000   32     5    28     56
36    siemens  240    512   2000    8     1     5     22
group 5:
       vendor  MYCT  MMIN   MMAX CACH CHMIN CHMAX result
0         dec   200   512   8000    8     1     8     38
1         cdc    50  2620  10480   30    12    24     74
2   honeywell   330  1000   2000    0     1     2     20
3     siemens   105  2000   4000    8     3     8     31
4         cdc    50  2000   8000    8     1     5     44
5         ibm    57  4000  24000   64    12    16    171
6         ncr    56  2000   8000    0     1     8     41
7         ncr    38  4000   8000   32    16    32     80
8      sperry    98  1000   8000   32     2     8     50
9       c.r.d   320   256   3000    4     1     3     22
10      prime   160   512   2000    2     3     8     20
11        ibm  1500   768   1000    0     0     0     18
12     sperry    50  2000  32000   24     6    26    182
13     amdahl    26  8000  32000   64     8    32    290
14     harris   300   384  12000    6     1    24     50
15        nas    38  8000  32000   64     8    24    267
16        ibm   900  2000   4000    0     3     6     28
17    siemens    59  4000  12000   32     6    12     81
18  honeywell   140  2000  32000   32     1    20    175
19    nixdorf   200  2000   8000   64     1     5     67
20   magnuson   100  1000   8000   24     3     6     46
21  burroughs   167   524   2000    8     4    15     23
22        ibm   180  2000  16000   16     1     6     76
23     sperry    30  8000  64000  128    12   176    978
24        ibm   400  2000   4000    0     1     1     28
25        nas   115  2000   8000   16     1     3     46
26         hp   175   256   2000    0     3    24     20
27     apollo   400   512   3500    4     1     6     24
28  burroughs   143  2300   6200    0     6    64     40
29         hp    90   256   1000    0     3    10     18
30         dg   110  1000  12000   16     1     2     56
31        ibm   480    96    512    0     1     1     15
32        ipl    50  2000   8000    8     1     6     44
33        dec   133  1000  12000    9     3    12     54
34        nas    72  2000   8000   16     6     8     48
35        nas    60  4000  16000   32     1     6     95
36  formation   800   256   8000    0     1     4     34
try cutoff value: 1
better split found on 0 at amdahl with mse=22062.218394938394
better split found on 1 at 23 with mse=21326.20625570776
better split found on 1 at 30 with mse=18121.321245791245
better split found on 1 at 35 with mse=17921.615577875993
better split found on 1 at 38 with mse=17635.918186666666
better split found on 2 at 4000 with mse=15009.65105128205
better split found on 2 at 5000 with mse=14496.415802865944
better split found on 2 at 5240 with mse=13982.234579124579
better split found on 3 at 16000 with mse=13669.018558201056
better split found on 3 at 20970 with mse=13287.384913842288
better split found on 3 at 24000 with mse=12855.91482051282
better split found on 3 at 32000 with mse=8057.6583105022855
better split found on 0 at amdahl with mse=6266.716059457883
better split found on 1 at 26 with mse=5981.127687837278
better split found on 1 at 29 with mse=5550.482580205185
better split found on 1 at 35 with mse=5284.294447349157
better split found on 1 at 38 with mse=4236.971470319636
better split found on 1 at 48 with mse=4205.884671393565
better split found on 2 at 3100 with mse=4078.627799227799
better split found on 2 at 4000 with mse=3482.6235972075865
better split found on 2 at 5000 with mse=3377.6659834779884
better split found on 2 at 5240 with mse=3289.103910929253
better split found on 3 at 16000 with mse=1891.4148999782553
better split found on 3 at 20970 with mse=1816.6236027454024
better split found on 0 at amdahl with mse=1086.463442069741
better split found on 0 at gould with mse=1040.1627508255012
better split found on 1 at 29 with mse=1031.1153011865258
better split found on 1 at 38 with mse=926.1159674955884
better split found on 1 at 52 with mse=907.7844690586563
better split found on 1 at 59 with mse=906.3842934106921
better split found on 1 at 60 with mse=853.5919456936954
better split found on 1 at 64 with mse=806.661104318482
better split found on 1 at 70 with mse=802.4145082826185
better split found on 1 at 72 with mse=771.2495448343943
better split found on 1 at 75 with mse=639.6129960499123
better split found on 2 at 3000 with mse=639.366078060997
better split found on 2 at 3100 with mse=607.043741261314
better split found on 3 at 8000 with mse=520.4993483573173
better split found on 3 at 12000 with mse=494.35323141425505
better split found on 0 at apollo with mse=384.6539888682748
better split found on 0 at bti with mse=381.2727272727274
better split found on 0 at burroughs with mse=379.3580270793038
better split found on 0 at c.r.d with mse=378.0365570599613
better split found on 0 at cdc with mse=361.4434669273379
better split found on 1 at 25 with mse=342.86016414141386
better split found on 1 at 38 with mse=304.5123791102516
better split found on 1 at 75 with mse=286.0406815406815
better split found on 1 at 110 with mse=277.1590909090909
better split found on 1 at 133 with mse=272.6008104595153
better split found on 2 at 1000 with mse=255.5458508361734
better split found on 2 at 2000 with mse=254.22727272727275
better split found on 2 at 2300 with mse=244.30081716036779
better split found on 3 at 4000 with mse=236.46589981447127
better split found on 3 at 4500 with mse=231.0158070500928
better split found on 4 at 8 with mse=199.39239650509674
better split found on 4 at 16 with mse=198.89033189033194
better split found on 4 at 24 with mse=188.89022605301676
better split found on 0 at apollo with mse=152.36169630642954
better split found on 0 at bti with mse=149.6210670314638
better split found on 0 at harris with mse=148.24651162790704
better split found on 0 at nas with mse=147.4998599047351
better split found on 1 at 25 with mse=132.39811738648947
better split found on 1 at 70 with mse=129.62193588937774
better split found on 1 at 72 with mse=126.13801553655007
better split found on 1 at 75 with mse=120.40614617940199
better split found on 1 at 110 with mse=120.31067382230171
better split found on 1 at 133 with mse=115.17652270210411
better split found on 3 at 2000 with mse=94.8131111257928
better split found on 3 at 3000 with mse=90.84527381845459
better split found on 3 at 3500 with mse=88.93904689287075
better split found on 3 at 4000 with mse=61.843291003671965
better split found on 3 at 4500 with mse=58.82212445003144
better split found on 3 at 5000 with mse=52.70610383688357
better split found on 3 at 6000 with mse=46.2899597111971
better split found on 0 at apollo with mse=23.635341074020317
better split found on 0 at bti with mse=21.97968069666183
better split found on 0 at honeywell with mse=21.366720192693702
better split found on 1 at 140 with mse=20.122873220787813
better split found on 1 at 150 with mse=19.355376741891725
better split found on 1 at 320 with mse=18.727925761499563
better split found on 2 at 768 with mse=17.33883647798742
better split found on 2 at 1000 with mse=15.494866169372532
better split found on 3 at 1000 with mse=14.071088240899565
better split found on 3 at 1500 with mse=12.937033786748577
better split found on 3 at 2000 with mse=6.778371050738672
better split found on 3 at 3000 with mse=6.631424853610931
better split found on 0 at bti with mse=4.7065217391304355
better split found on 0 at harris with mse=4.489130434782607
better split found on 1 at 300 with mse=4.166083916083917
better split found on 1 at 320 with mse=3.3583916083916088
better split found on 1 at 330 with mse=3.242857142857143
better split found on 3 at 1000 with mse=2.498148148148149
better split found on 3 at 1500 with mse=2.0714285714285716
better split found on 0 at bti with mse=1.1555555555555554
better split found on 2 at 64 with mse=1.1555555555555554
better split found on 2 at 96 with mse=0.28750000000000003
better split found on 0 at dec with mse=0.3571428571428571
better split found on 0 at hp with mse=0.3571428571428571
better split found on 0 at ibm with mse=0.21875
better split found on 1 at 240 with mse=0.18333333333333332
better split found on 6 at 2 with mse=0.18333333333333332
better split found on 0 at dec with mse=0.15000000000000002
better split found on 0 at ibm with mse=0.15000000000000002
better split found on 1 at 810 with mse=0.15000000000000002
better split found on 1 at 900 with mse=0.13333333333333333
better split found on 2 at 512 with mse=0.13333333333333333
better split found on 6 at 1 with mse=0.1
better split found on 0 at ibm with mse=0.25
better split found on 1 at 900 with mse=0.25
better split found on 2 at 512 with mse=0.0
better split found on 0 at hp with mse=0.0
better split found on 1 at 90 with mse=0.0
better split found on 2 at 256 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 4 with mse=0.0
better split found on 0 at burroughs with mse=2.011904761904762
better split found on 0 at harris with mse=1.2087912087912087
better split found on 4 at 2 with mse=0.9434523809523812
better split found on 4 at 4 with mse=0.7964285714285715
better split found on 0 at burroughs with mse=0.42222222222222217
better split found on 1 at 320 with mse=0.39999999999999997
better split found on 6 at 2 with mse=0.39999999999999997
better split found on 0 at burroughs with mse=0.4666666666666666
better split found on 0 at hp with mse=0.4666666666666666
better split found on 0 at prime with mse=0.4666666666666666
better split found on 5 at 3 with mse=0.4666666666666666
better split found on 6 at 16 with mse=0.4666666666666666
better split found on 0 at burroughs with mse=0.4
better split found on 0 at prime with mse=0.2
better split found on 0 at burroughs with mse=0.16666666666666669
better split found on 0 at ncr with mse=0.16666666666666669
better split found on 1 at 84 with mse=0.16666666666666669
better split found on 2 at 256 with mse=0.16666666666666669
better split found on 3 at 2000 with mse=0.16666666666666669
better split found on 5 at 1 with mse=0.16666666666666669
better split found on 6 at 6 with mse=0.16666666666666669
better split found on 0 at c.r.d with mse=0.16666666666666666
better split found on 0 at ncr with mse=0.16666666666666666
better split found on 1 at 84 with mse=0.16666666666666666
better split found on 2 at 256 with mse=0.0
better split found on 3 at 2000 with mse=0.0
better split found on 0 at burroughs with mse=1.1666666666666665
better split found on 0 at harris with mse=0.16666666666666669
better split found on 1 at 240 with mse=0.16666666666666669
better split found on 2 at 524 with mse=0.16666666666666669
better split found on 3 at 2000 with mse=0.16666666666666669
better split found on 4 at 6 with mse=0.16666666666666669
better split found on 5 at 4 with mse=0.16666666666666669
better split found on 6 at 15 with mse=0.16666666666666669
better split found on 0 at burroughs with mse=0.16666666666666666
better split found on 0 at cdc with mse=0.16666666666666666
better split found on 0 at siemens with mse=0.0
better split found on 1 at 167 with mse=0.0
better split found on 0 at apollo with mse=6.831280788177339
better split found on 0 at honeywell with mse=6.435632183908045
better split found on 0 at sperry with mse=6.206896551724138
better split found on 1 at 140 with mse=5.468303726924417
better split found on 1 at 150 with mse=4.449459093982421
better split found on 4 at 4 with mse=4.0623973727422
better split found on 0 at apollo with mse=4.616666666666667
better split found on 0 at ipl with mse=4.559523809523809
better split found on 0 at microdata with mse=3.18095238095238
better split found on 5 at 4 with mse=3.18095238095238
better split found on 6 at 24 with mse=3.18095238095238
better split found on 0 at apollo with mse=2.9842105263157888
better split found on 0 at honeywell with mse=2.938888888888888
better split found on 0 at ipl with mse=2.7315789473684196
better split found on 0 at sperry with mse=2.58888888888889
better split found on 1 at 140 with mse=2.486666666666667
better split found on 2 at 1000 with mse=2.006666666666667
better split found on 0 at apollo with mse=2.1952380952380945
better split found on 0 at c.r.d with mse=1.7111111111111115
better split found on 2 at 256 with mse=1.7111111111111115
better split found on 3 at 4000 with mse=1.0733333333333333
better split found on 0 at apollo with mse=1.355555555555556
better split found on 0 at hp with mse=0.5555555555555556
better split found on 6 at 7 with mse=0.5555555555555556
better split found on 0 at apollo with mse=0.5416666666666666
better split found on 0 at ibm with mse=0.4305555555555555
better split found on 0 at ncr with mse=0.4305555555555555
better split found on 1 at 56 with mse=0.4305555555555555
better split found on 1 at 480 with mse=0.4305555555555555
better split found on 2 at 512 with mse=0.19999999999999998
better split found on 0 at apollo with mse=0.15000000000000002
better split found on 0 at perkin-elmer with mse=0.15000000000000002
better split found on 0 at prime with mse=0.0
better split found on 1 at 160 with mse=0.0
better split found on 0 at ibm with mse=0.16666666666666669
better split found on 0 at ncr with mse=0.16666666666666669
better split found on 0 at nixdorf with mse=0.16666666666666669
better split found on 0 at wang with mse=0.16666666666666669
better split found on 1 at 56 with mse=0.16666666666666669
better split found on 1 at 480 with mse=0.16666666666666669
better split found on 4 at 0 with mse=0.16666666666666669
better split found on 5 at 0 with mse=0.16666666666666669
better split found on 6 at 0 with mse=0.16666666666666669
better split found on 6 at 4 with mse=0.16666666666666669
better split found on 0 at ibm with mse=0.0
better split found on 1 at 480 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at c.r.d with mse=0.23333333333333334
better split found on 0 at dec with mse=0.2
better split found on 0 at harris with mse=0.15000000000000002
better split found on 1 at 300 with mse=0.15000000000000002
better split found on 3 at 4500 with mse=0.15000000000000002
better split found on 3 at 5000 with mse=0.13333333333333333
better split found on 0 at c.r.d with mse=0.16666666666666666
better split found on 0 at dec with mse=0.0
better split found on 1 at 320 with mse=0.0
better split found on 2 at 768 with mse=0.0
better split found on 6 at 1 with mse=0.0
better split found on 0 at honeywell with mse=0.6333333333333333
better split found on 0 at ibm with mse=0.39999999999999997
better split found on 0 at ipl with mse=0.15000000000000002
better split found on 1 at 50 with mse=0.15000000000000002
better split found on 0 at honeywell with mse=0.125
better split found on 0 at ibm with mse=0.125
better split found on 1 at 140 with mse=0.125
better split found on 5 at 3 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at cdc with mse=0.9285714285714284
better split found on 0 at hp with mse=0.9285714285714284
better split found on 1 at 50 with mse=0.9285714285714284
better split found on 2 at 1000 with mse=0.43333333333333335
better split found on 0 at cdc with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 0 at honeywell with mse=0.5333333333333333
better split found on 0 at hp with mse=0.2
better split found on 6 at 8 with mse=0.13333333333333333
better split found on 0 at honeywell with mse=0.0
better split found on 0 at hp with mse=0.0
better split found on 1 at 105 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 19 with mse=0.0
better split found on 0 at burroughs with mse=80.31427174975565
better split found on 0 at formation with mse=64.28631138975966
better split found on 1 at 70 with mse=63.67696969696969
better split found on 1 at 72 with mse=63.65530303030303
better split found on 1 at 75 with mse=59.79025032938077
better split found on 2 at 3100 with mse=59.49315738025416
better split found on 3 at 8000 with mse=28.581228956228955
better split found on 0 at burroughs with mse=26.990530303030305
better split found on 0 at cdc with mse=26.82608695652174
better split found on 0 at dec with mse=25.721590909090907
better split found on 0 at formation with mse=17.28958333333333
better split found on 1 at 105 with mse=15.712703962703962
better split found on 1 at 115 with mse=12.82986111111111
better split found on 4 at 4 with mse=10.190972222222225
better split found on 0 at burroughs with mse=5.574999999999999
better split found on 0 at formation with mse=2.65625
better split found on 1 at 143 with mse=1.8472222222222223
better split found on 2 at 1000 with mse=1.3541666666666667
better split found on 0 at dec with mse=1.607142857142857
better split found on 0 at dg with mse=1.607142857142857
better split found on 0 at formation with mse=0.125
better split found on 1 at 320 with mse=0.125
better split found on 2 at 256 with mse=0.125
better split found on 0 at dec with mse=0.16666666666666669
better split found on 0 at dg with mse=0.16666666666666669
better split found on 0 at magnuson with mse=0.16666666666666669
better split found on 0 at sperry with mse=0.16666666666666669
better split found on 1 at 100 with mse=0.16666666666666669
better split found on 1 at 124 with mse=0.0
better split found on 6 at 5 with mse=0.0
better split found on 0 at burroughs with mse=0.125
better split found on 1 at 92 with mse=0.125
better split found on 2 at 2000 with mse=0.125
better split found on 3 at 6200 with mse=0.125
better split found on 5 at 1 with mse=0.125
better split found on 6 at 8 with mse=0.125
better split found on 0 at burroughs with mse=0.25
better split found on 1 at 143 with mse=0.25
better split found on 2 at 2300 with mse=0.0
better split found on 5 at 5 with mse=0.0
better split found on 6 at 20 with mse=0.0
better split found on 0 at cdc with mse=13.348484848484853
better split found on 0 at dec with mse=8.803030303030306
better split found on 0 at hp with mse=6.37878787878788
better split found on 2 at 2000 with mse=6.37878787878788
better split found on 6 at 14 with mse=6.37878787878788
better split found on 0 at cdc with mse=6.945454545454544
better split found on 0 at dec with mse=2.909090909090909
better split found on 1 at 115 with mse=2.715909090909091
better split found on 0 at cdc with mse=1.607142857142857
better split found on 0 at ipl with mse=1.1041666666666665
better split found on 1 at 50 with mse=0.4
better split found on 4 at 8 with mse=0.4
better split found on 0 at magnuson with mse=0.39999999999999997
better split found on 1 at 72 with mse=0.15000000000000002
better split found on 5 at 3 with mse=0.1
better split found on 6 at 6 with mse=0.1
better split found on 0 at nas with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 72 with mse=0.0
better split found on 5 at 4 with mse=0.0
better split found on 6 at 8 with mse=0.0
better split found on 0 at dec with mse=0.16666666666666666
better split found on 1 at 180 with mse=0.16666666666666666
better split found on 2 at 512 with mse=0.16666666666666666
better split found on 0 at ibm with mse=0.0
better split found on 0 at prime with mse=0.0
better split found on 1 at 160 with mse=0.0
better split found on 2 at 1000 with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at dec with mse=30.666666666666664
better split found on 0 at harris with mse=14.907407407407407
better split found on 1 at 70 with mse=6.305555555555555
better split found on 2 at 1000 with mse=6.305555555555555
better split found on 0 at dec with mse=3.75
better split found on 0 at dg with mse=1.75
better split found on 0 at harris with mse=1.333333333333333
better split found on 1 at 133 with mse=1.333333333333333
better split found on 1 at 180 with mse=1.333333333333333
better split found on 2 at 768 with mse=1.333333333333333
better split found on 4 at 6 with mse=1.333333333333333
better split found on 6 at 12 with mse=1.333333333333333
better split found on 0 at dec with mse=0.0
better split found on 0 at dg with mse=0.0
better split found on 1 at 110 with mse=0.0
better split found on 4 at 9 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 2 with mse=0.0
better split found on 0 at harris with mse=1.5555555555555554
better split found on 1 at 180 with mse=0.6666666666666666
better split found on 2 at 384 with mse=0.16666666666666666
better split found on 0 at harris with mse=0.25
better split found on 1 at 180 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at ibm with mse=7.625
better split found on 0 at siemens with mse=4.5
better split found on 1 at 56 with mse=4.5
better split found on 5 at 1 with mse=1.625
better split found on 0 at ibm with mse=0.0
better split found on 0 at ncr with mse=0.0
better split found on 1 at 25 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 6 at 4 with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 25 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 5 at 3 with mse=0.0
better split found on 6 at 5 with mse=0.0
better split found on 0 at burroughs with mse=217.30128205128202
better split found on 2 at 4000 with mse=217.30128205128202
better split found on 3 at 5000 with mse=149.53846153846152
better split found on 4 at 64 with mse=149.53846153846152
better split found on 0 at cdc with mse=143.8383838383838
better split found on 0 at nas with mse=135.1272727272727
better split found on 0 at ncr with mse=117.17171717171718
better split found on 0 at sperry with mse=111.17171717171719
better split found on 1 at 50 with mse=97.58441558441558
better split found on 1 at 59 with mse=57.527272727272724
better split found on 1 at 75 with mse=26.593939393939394
better split found on 0 at cdc with mse=3.6666666666666665
